period_month,outlet_id,therapist_id,scheduled_hours,booked_hours,idle_hours,break_hours,recovery_gap_hours,overtime_hours,split_shift_days,coverage_gap_days,worked_days,day_off_days,schedule_stability_score_0_100,workload_density_ratio,max_consecutive_workdays,burnout_exposure_days,day_off_regularity_ratio,recovery_adequacy_ratio,overtime_pressure_ratio,coverage_gap_pressure_ratio,burnout_exposure_ratio,roster_integrity_score_0_100,roster_integrity_band,roster_integrity_note
2017-01-01,MLT_OUTLET_001,TH_001,163.2729,101.25,32.6338,15.1842,0.6715,0.0,0,0,22,8,92.7891,0.756253,3,0,1.0,0.8953333333333333,0.0,0.0,0.0,96.43651200000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-01-01,MLT_OUTLET_001,TH_002,167.7853,91.92,45.6639,17.8887,0.7201,0.0,1,0,24,6,73.9243,0.668101,4,0,0.75,0.9601333333333333,0.0,0.0,0.0,86.077376,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-01-01,MLT_OUTLET_002,TH_003,178.2293,91.65,54.498,18.2044,0.8154,0.0,0,0,22,8,94.3967,0.627104,4,0,1.0,1.0872,0.0,0.0,0.0,98.20694400000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-01-01,MLT_OUTLET_002,TH_004,135.2236,66.53,44.3533,13.1848,0.9289,0.0,0,0,18,12,88.513,0.6,4,0,1.0,1.1,0.0,0.0,0.0,96.32416,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-01-01,MLT_OUTLET_003,TH_005,170.9553,84.11,56.0733,16.0653,0.9026,0.0,0,0,23,7,84.0119,0.6,3,0,0.875,1.1,0.0,0.0,0.0,93.133808,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-01-01,MLT_OUTLET_003,TH_006,149.7737,74.56,48.2544,14.2142,0.9071,0.0,0,0,19,11,86.3547,0.607095,4,0,1.0,1.1,0.0,0.0,0.0,95.633504,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-02-01,MLT_OUTLET_001,TH_001,134.0816,79.95,29.9969,12.4234,0.5946,0.0,0,0,18,12,84.9554,0.727169,4,0,1.0,0.7928000000000001,0.0,0.0,0.0,92.69932800000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-02-01,MLT_OUTLET_001,TH_002,117.6655,89.0,7.4857,12.456,0.6534,0.0,0,1,18,12,73.1313,0.922417,7,1,1.0,0.8712,0.0,0.3333333333333333,0.3333333333333333,83.18974933333334,healthy,Consecutive workday pattern is too aggressive for sustainable spa operations.
2017-02-01,MLT_OUTLET_002,TH_003,186.1348,96.6,56.0305,19.0319,0.8666,0.0,0,0,23,7,90.7035,0.632901,3,0,0.875,1.1,0.0,0.0,0.0,95.27512,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-02-01,MLT_OUTLET_002,TH_004,145.0323,76.17,42.7565,14.6498,0.9415,0.0,0,0,20,10,90.2359,0.64048,5,0,1.0,1.1,0.0,0.0,0.0,96.875488,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-02-01,MLT_OUTLET_003,TH_005,178.6382,87.89,58.5933,16.7638,0.772,0.0,0,0,24,6,80.3459,0.6,5,0,0.75,1.0293333333333334,0.0,0.0,0.0,90.210688,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-02-01,MLT_OUTLET_003,TH_006,183.3585,96.98,53.374,17.2067,0.6982,0.0,0,0,23,7,93.3716,0.645011,5,0,0.875,0.9309333333333334,0.0,0.0,0.0,95.300112,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-03-01,MLT_OUTLET_001,TH_001,156.7573,108.72,19.821,14.0842,0.7973,0.0,0,0,22,8,83.466,0.8458,5,0,1.0,1.0630666666666666,0.0,0.0,0.0,94.70912,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-03-01,MLT_OUTLET_001,TH_002,153.0412,93.1,32.3938,16.3979,0.832,0.0,0,0,22,8,85.9123,0.741869,3,0,1.0,1.1,0.0,0.0,0.0,95.49193600000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-03-01,MLT_OUTLET_002,TH_003,167.169,97.82,39.2585,17.377,0.609,0.0,0,0,21,9,82.605,0.713605,4,0,1.0,0.8119999999999999,0.0,0.0,0.0,92.17760000000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-03-01,MLT_OUTLET_002,TH_004,173.6614,90.46,51.9424,17.5798,0.5969,0.0,0,0,24,6,87.7664,0.635242,3,0,0.75,0.7958666666666666,0.0,0.0,0.0,90.135648,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-03-01,MLT_OUTLET_003,TH_005,164.56,91.37,43.5692,15.3668,0.6586,0.0,0,0,22,8,84.9333,0.67712,5,0,1.0,0.8781333333333333,0.0,0.0,0.0,93.716256,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-03-01,MLT_OUTLET_003,TH_006,157.4227,89.52,39.5666,14.9623,0.8382,0.0,0,0,20,10,84.6964,0.693488,4,0,1.0,1.1,0.0,0.0,0.0,95.10284800000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-04-01,MLT_OUTLET_001,TH_001,122.2206,84.37,15.8509,11.0431,0.8196,0.0,0,0,16,12,83.6958,0.84184,3,0,1.0,1.0928,0.0,0.0,0.0,94.782656,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-04-01,MLT_OUTLET_001,TH_002,127.4958,80.55,23.9965,13.4165,0.8149,0.0,0,0,18,12,89.3815,0.77047,4,0,1.0,1.0865333333333334,0.0,0.0,0.0,96.60208,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-04-01,MLT_OUTLET_002,TH_003,140.2876,102.24,12.7958,14.772,0.5438,0.0,0,0,19,11,83.7133,0.888767,6,0,1.0,0.7250666666666666,0.0,0.0,0.0,91.489056,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-04-01,MLT_OUTLET_002,TH_004,140.6674,87.8,27.5472,13.9173,0.6679,0.0,0,0,19,11,93.7746,0.76118,4,0,1.0,0.8905333333333334,0.0,0.0,0.0,96.69427200000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-04-01,MLT_OUTLET_003,TH_005,175.7262,90.58,53.5155,16.0653,0.7598,0.0,1,0,23,7,74.7844,0.628611,4,0,0.875,1.0130666666666668,0.0,0.0,0.0,88.58100800000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-04-01,MLT_OUTLET_003,TH_006,188.7379,101.82,52.9451,17.9548,0.662,0.0,1,0,24,6,78.4005,0.6579,5,0,0.75,0.8826666666666667,0.0,0.0,0.0,86.58016,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-05-01,MLT_OUTLET_001,TH_001,140.3169,95.82,19.2398,13.1136,0.6561,0.0,0,0,19,11,88.2605,0.832784,4,0,1.0,0.8748,0.0,0.0,0.0,94.74096,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-05-01,MLT_OUTLET_001,TH_002,124.0283,83.75,17.9532,13.4165,0.5785,0.0,0,0,18,12,88.0267,0.823475,3,0,1.0,0.7713333333333333,0.0,0.0,0.0,93.42454400000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-05-01,MLT_OUTLET_002,TH_003,153.3485,94.22,31.5258,15.722,0.8882,0.0,0,0,19,11,89.4633,0.74929,4,0,1.0,1.1,0.0,0.0,0.0,96.62825600000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-05-01,MLT_OUTLET_002,TH_004,123.1085,96.27,4.679,12.14,0.8079,0.0,0,1,18,12,73.0439,0.95365,7,1,1.0,1.0772,0.0,0.3333333333333333,0.3333333333333333,84.70738133333334,healthy,Consecutive workday pattern is too aggressive for sustainable spa operations.
2017-05-01,MLT_OUTLET_003,TH_005,130.0258,87.58,19.0411,11.6728,0.8847,0.0,0,0,18,12,83.6074,0.821413,6,0,1.0,1.1,0.0,0.0,0.0,94.754368,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-05-01,MLT_OUTLET_003,TH_006,128.4163,74.48,30.8214,11.9699,0.7537,0.0,0,0,16,12,89.5094,0.707303,4,0,1.0,1.0049333333333335,0.0,0.0,0.0,96.64300800000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-06-01,MLT_OUTLET_001,TH_001,150.7967,99.3,24.3533,13.8038,0.7837,0.0,0,0,20,10,94.6687,0.803052,4,0,1.0,1.0449333333333333,0.0,0.0,0.0,98.29398400000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-06-01,MLT_OUTLET_001,TH_002,123.2212,91.43,9.6114,13.4033,0.5614,0.0,0,0,18,12,91.1092,0.904876,4,0,1.0,0.7485333333333334,0.0,0.0,0.0,94.137344,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-06-01,MLT_OUTLET_002,TH_003,134.065,102.24,7.6933,13.9135,0.5353,5.7652,0,1,18,12,67.52,0.930018,7,1,1.0,0.7137333333333333,0.4804333333333333,0.3333333333333333,0.3333333333333333,72.77846666666667,healthy,Consecutive workday pattern is too aggressive for sustainable spa operations.
2017-06-01,MLT_OUTLET_002,TH_004,124.5944,77.99,24.1774,12.4523,0.8352,0.0,0,0,17,12,85.1662,0.763355,5,0,1.0,1.1,0.0,0.0,0.0,95.253184,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-06-01,MLT_OUTLET_003,TH_005,100.6434,75.74,6.7876,9.0416,0.7194,1.8955,0,1,14,12,77.872,0.917753,7,1,1.0,0.9592,0.15795833333333334,0.3333333333333333,0.3333333333333333,83.55135666666668,healthy,Consecutive workday pattern is too aggressive for sustainable spa operations.
2017-06-01,MLT_OUTLET_003,TH_006,103.4707,71.46,13.386,9.7736,0.8458,2.8903,0,0,14,12,79.3287,0.842232,6,0,1.0,1.1,0.2408583333333333,0.0,0.0,90.01316733333334,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-07-01,MLT_OUTLET_001,TH_001,91.0208,81.86,0.0,8.0105,0.3817,7.0565,0,1,13,12,58.1562,1.06,8,1,1.0,0.5089333333333333,0.5880416666666667,0.3333333333333333,0.3333333333333333,65.81793400000001,watchlist,Consecutive workday pattern is too aggressive for sustainable spa operations.
2017-07-01,MLT_OUTLET_001,TH_002,131.1647,95.3,12.255,14.1618,0.7368,0.0,1,0,19,11,79.2298,0.886058,6,0,1.0,0.9824,0.0,0.0,0.0,91.542336,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-07-01,MLT_OUTLET_002,TH_003,136.3661,97.57,14.2502,14.0671,0.864,0.0,1,0,17,12,73.2738,0.872561,4,0,1.0,1.1,0.0,0.0,0.0,89.847616,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-07-01,MLT_OUTLET_002,TH_004,102.2592,81.01,2.8425,10.0886,0.5023,2.9202,0,1,15,12,73.4623,0.966101,7,1,1.0,0.6697333333333333,0.24334999999999998,0.3333333333333333,0.3333333333333333,77.47116933333334,healthy,Consecutive workday pattern is too aggressive for sustainable spa operations.
2017-07-01,MLT_OUTLET_003,TH_005,120.3508,93.38,5.3076,10.9065,0.5992,8.4999,0,1,17,12,63.3959,0.946218,7,1,1.0,0.7989333333333333,0.708325,0.3333333333333333,0.3333333333333333,69.29067133333334,watchlist,Consecutive workday pattern is too aggressive for sustainable spa operations.
2017-07-01,MLT_OUTLET_003,TH_006,121.5208,99.52,0.1271,10.9329,0.767,1.8809,0,1,16,12,65.3359,0.998725,7,1,1.0,1.0226666666666666,0.15674166666666667,0.3333333333333333,0.3333333333333333,80.04643800000001,healthy,Consecutive workday pattern is too aggressive for sustainable spa operations.
2017-08-01,MLT_OUTLET_001,TH_001,132.8706,101.52,7.4339,12.3377,0.7653,0.0,0,0,18,12,80.282,0.93177,6,0,1.0,1.0204,0.0,0.0,0.0,93.69024,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-08-01,MLT_OUTLET_001,TH_002,103.6825,81.74,3.2796,11.0422,0.8632,0.0,0,1,15,12,81.4542,0.961425,7,1,1.0,1.1,0.0,0.3333333333333333,0.3333333333333333,87.39867733333335,strong,Consecutive workday pattern is too aggressive for sustainable spa operations.
2017-08-01,MLT_OUTLET_002,TH_003,123.8719,92.0,9.575,13.2258,0.5411,0.0,0,0,16,12,88.3007,0.905735,5,0,1.0,0.7214666666666667,0.0,0.0,0.0,92.913824,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-08-01,MLT_OUTLET_002,TH_004,126.3371,85.95,17.6464,12.4523,0.9111,0.0,0,0,17,12,95.1677,0.829662,6,0,1.0,1.1,0.0,0.0,0.0,98.453664,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-08-01,MLT_OUTLET_003,TH_005,120.2864,76.35,22.2849,11.1758,0.7901,0.0,1,0,16,12,79.3719,0.774067,4,0,1.0,1.0534666666666668,0.0,0.0,0.0,91.79900800000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-08-01,MLT_OUTLET_003,TH_006,113.682,92.18,1.0392,10.2718,0.5911,1.973,0,1,15,12,62.7645,0.988852,7,1,1.0,0.7881333333333332,0.16441666666666668,0.3333333333333333,0.3333333333333333,76.57374000000002,healthy,Consecutive workday pattern is too aggressive for sustainable spa operations.
2017-09-01,MLT_OUTLET_001,TH_001,102.0466,73.33,10.3482,9.6627,0.9164,0.0,0,0,14,12,92.3771,0.876333,5,0,1.0,1.1,0.0,0.0,0.0,97.56067200000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-09-01,MLT_OUTLET_001,TH_002,114.5349,80.81,13.1086,11.9258,0.6128,0.0,0,0,16,12,86.7918,0.860426,5,0,1.0,0.8170666666666667,0.0,0.0,0.0,93.578176,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-09-01,MLT_OUTLET_002,TH_003,150.4543,92.02,31.3525,15.722,0.8621,0.0,0,0,19,11,93.4201,0.745871,5,0,1.0,1.1,0.0,0.0,0.0,97.89443200000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-09-01,MLT_OUTLET_002,TH_004,146.1176,86.25,33.5665,14.6498,0.6723,0.0,0,0,20,10,84.0908,0.719851,4,0,1.0,0.8964,0.0,0.0,0.0,93.665856,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-09-01,MLT_OUTLET_003,TH_005,144.9383,86.32,32.5294,13.2713,0.9454,0.0,1,0,19,11,78.8331,0.726297,5,0,1.0,1.1,0.0,0.0,0.0,91.62659200000002,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
2017-09-01,MLT_OUTLET_003,TH_006,149.4944,86.78,35.8054,14.2142,0.6637,0.0,0,0,19,11,81.0502,0.707915,5,0,1.0,0.8849333333333332,0.0,0.0,0.0,92.55526400000001,strong,"Roster integrity is acceptable, but should still be governed against avoidable strain."
