conflict_resolution_id,entity_scope,outlet_id,outlet_name,therapist_id,therapist_name,treatment_category,treatment_variant,session_duration_min,treatment_key,market_context,period_type,period_start,period_end,rolling_window_weeks,pricing_position,recommended_sell_price_eur,market_price_median_eur,commercial_market_price_median_eur,external_demand_proxy_index,external_stress_flag,revenue_eur,utilization_percent,yield_eur_per_sold_hour,revpath_eur_per_available_hour,bookings_count,rebooking_rate_percent,addon_attach_rate_percent,retail_attach_rate_percent,cancellation_rate_percent,no_show_rate_percent,complaint_rate_percent,schedule_adherence_percent,therapist_consistency_score_0_100,treatment_health_score_0_100,conflict_case_flag,conflict_pattern_code,conflict_pattern_group,conflict_priority_level,primary_tradeoff_dimension,secondary_tradeoff_dimension,root_cause_hypothesis,root_cause_confidence_level,recommended_resolution_path,manager_action_route,pricing_action_flag,staffing_action_flag,training_action_flag,retention_action_flag,governance_review_flag,burnout_guardrail_flag,leakage_risk_flag,score_confidence_level,sample_size_observations,dependency_coverage_flag,qa_status,audit_note,status
CRL_00001,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,aromatherapy,standard,60,aromatherapy|standard|60,Malta,weekly,2026-01-05,2026-01-11,12,premium_core,64.0,76.0,76.0,0.92,no,681.12,57.89,61.92,35.85,11,41.18,14.5,6.7,11.4,4.1,2.8,88.08000000000001,75.98,63.96,yes,HIGH_DEMAND_LOW_YIELD,commercial_tradeoff,high,pricing,none,strong demand but weak monetization,low,review pricing upsell and mix,pricing_review,yes,no,no,no,no,no,no,medium,11,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated
CRL_00002,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,body_treatment,standard,60,body_treatment|standard|60,Malta,weekly,2026-01-05,2026-01-11,12,premium_core,69.0,77.5,77.5,0.92,no,771.65,57.89,70.15,40.61,11,54.2,25.32,8.55,10.0,4.06,1.06,88.08000000000001,75.98,68.75,no,NO_CONFLICT,normal,low,none,none,no material conflict detected,low,continue monitoring,standard_review,no,no,no,no,no,no,no,medium,11,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated
CRL_00003,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,deep_tissue,standard,60,deep_tissue|standard|60,Malta,weekly,2026-01-05,2026-01-11,12,premium_core,78.0,80.0,80.0,0.92,no,813.56,57.89,73.96,42.82,11,45.59,16.66,13.34,8.33,3.25,2.57,88.08000000000001,75.98,69.73,no,NO_CONFLICT,normal,low,none,none,no material conflict detected,low,continue monitoring,standard_review,no,no,no,no,no,no,no,medium,11,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated
CRL_00004,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,facial,basic,60,facial|basic|60,Malta,weekly,2026-01-05,2026-01-11,12,premium_core,94.0,100.0,100.0,0.92,no,976.03,57.89,88.73,51.37,11,51.25,15.19,12.17,8.77,3.37,2.37,88.08000000000001,75.98,73.02,no,NO_CONFLICT,normal,low,none,none,no material conflict detected,low,continue monitoring,standard_review,no,no,no,no,no,no,no,medium,11,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated
CRL_00005,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,hot_stone,standard,75,hot_stone|standard|75,Malta,weekly,2026-01-05,2026-01-11,12,premium_core,95.0,90.0,90.0,0.92,no,563.88,48.39,75.18,36.38,6,38.3,27.18,17.59,7.79,3.86,1.51,88.08000000000001,75.98,63.37,no,NO_CONFLICT,normal,low,none,none,no material conflict detected,low,continue monitoring,standard_review,no,no,no,no,no,no,no,medium,6,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated
CRL_00006,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,massage,standard,60,massage|standard|60,Malta,weekly,2026-01-05,2026-01-11,12,accessible_premium,58.0,85.0,85.0,0.92,no,644.93,57.89,58.63,33.94,11,45.73,13.95,11.94,8.82,2.84,3.05,88.08000000000001,75.98,60.55,yes,HIGH_DEMAND_LOW_YIELD,commercial_tradeoff,high,pricing,none,strong demand but weak monetization,low,review pricing upsell and mix,pricing_review,yes,no,no,no,no,no,no,medium,11,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated
CRL_00007,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,reflexology,standard,45,reflexology|standard|45,Malta,weekly,2026-01-05,2026-01-11,12,traffic_builder,34.0,75.0,75.0,0.92,no,349.14,50.77,42.32,21.49,11,42.6,20.32,12.56,11.24,3.16,2.99,88.08000000000001,75.98,52.14,yes,HIGH_DEMAND_LOW_YIELD,commercial_tradeoff,high,pricing,none,strong demand but weak monetization,low,review pricing upsell and mix,pricing_review,yes,no,no,no,no,no,no,medium,11,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated
CRL_00008,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,scrub,standard,45,scrub|standard|45,Malta,weekly,2026-01-05,2026-01-11,12,premium_core,52.0,50.0,50.0,0.92,no,542.52,50.77,65.76,33.39,11,51.93,21.57,17.06,11.48,4.19,3.82,88.08000000000001,75.98,67.32,no,NO_CONFLICT,normal,low,none,none,no material conflict detected,low,continue monitoring,standard_review,no,no,no,no,no,no,no,medium,11,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated
CRL_00009,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,swedish,standard,60,swedish|standard|60,Malta,weekly,2026-01-05,2026-01-11,12,premium_core,64.0,69.5,69.5,0.92,no,660.99,57.89,60.09,34.79,11,44.9,16.34,15.94,8.38,2.73,1.98,88.08000000000001,75.98,65.57,yes,HIGH_DEMAND_LOW_YIELD,commercial_tradeoff,high,pricing,none,strong demand but weak monetization,low,review pricing upsell and mix,pricing_review,yes,no,no,no,no,no,no,medium,11,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated
CRL_00010,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,wrap,standard,60,wrap|standard|60,Malta,weekly,2026-01-05,2026-01-11,12,premium_core,82.0,72.0,72.0,0.92,no,871.09,57.89,79.19,45.85,11,51.52,13.19,17.84,8.72,3.73,1.42,88.08000000000001,75.98,69.82,no,NO_CONFLICT,normal,low,none,none,no material conflict detected,low,continue monitoring,standard_review,no,no,no,no,yes,no,no,medium,11,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated
