action_queue_id,month_id,period_start,period_end,outlet_id,outlet_name,action_type,action_theme,management_signal,recommended_action,revenue_impact_direction,team_impact_direction,execution_priority_score,manager_note,action_priority_rank,execution_priority
MAQ_00001,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_003,St Julians,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,36.0126763654436,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,1,normal
MAQ_00002,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_002,Sliema,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,35.996707602095675,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,2,normal
MAQ_00003,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_001,Valletta,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,35.89519185597634,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,3,normal
MAQ_00004,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_003,St Julians,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,33.82049755365674,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,4,normal
MAQ_00005,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_002,Sliema,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,33.804528790308815,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,5,normal
MAQ_00006,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_001,Valletta,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,33.70301304418949,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,6,normal
MAQ_00007,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_003,St Julians,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,33.47038223393338,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,7,normal
MAQ_00008,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_002,Sliema,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,33.45441347058545,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,8,normal
MAQ_00009,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_001,Valletta,staff_commercial,refresh_training,refresh_training,"run refresh training on retail recommendation, attach behavior, and guest-conversation conversion",recoverable_upside,neutral,33.35289772446612,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,9,normal
MAQ_00010,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,outlet_management,balanced_control,stable_controlled_growth,maintain balanced commercial and operational control,protective,neutral,27.510001443801528,balanced commercial and operational conditions with manageable managerial control needs | Outlet commercial reward and training signals remain moderate under current modeled thresholds.,10,normal
MAQ_00011,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,outlet_management,balanced_control,stable_controlled_growth,maintain balanced commercial and operational control,protective,neutral,27.359592031032086,balanced commercial and operational conditions with manageable managerial control needs | Outlet commercial reward and training signals remain moderate under current modeled thresholds.,11,normal
MAQ_00012,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,outlet_management,balanced_control,stable_controlled_growth,maintain balanced commercial and operational control,protective,neutral,27.35132409309334,balanced commercial and operational conditions with manageable managerial control needs | Outlet commercial reward and training signals remain moderate under current modeled thresholds.,12,normal
MAQ_00013,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_003,St Julians,staff_commercial,watchlist_commercial_coaching,watchlist_commercial_coaching,run targeted commercial coaching on retail recommendation and attach-rate improvement,recoverable_upside,neutral,25.23475609340263,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,13,normal
MAQ_00014,2017-01,2017-01-01 00:00:00,2017-01-31 00:00:00,MLT_OUTLET_002,Sliema,staff_commercial,watchlist_commercial_coaching,watchlist_commercial_coaching,run targeted commercial coaching on retail recommendation and attach-rate improvement,recoverable_upside,neutral,25.218787330054703,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,14,normal
