year,month,month_id,month_label,quarter,month_num,airport_passengers_international,source_value_raw_airport,source_dataset_airport,source_airport_code_airport,source_scope_airport,tourism_demand_air_passengers_international,source_value_raw_tourism,source_dataset_tourism,source_geo_tourism,source_scope_tourism,accommodation_nights_spent,source_dataset_accommodation,source_geo_accommodation,source_scope_accommodation,unemployment_rate_percent,source_dataset_labour,source_geo_labour,source_scope_labour,hicp_restaurants_hotels_index,hicp_restaurants_hotels_yoy,source_dataset_index_cpi,source_dataset_yoy_cpi,source_scope_cpi
2017,1,2017-01,2017-01,1,1,,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",452424.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",4.166666666666667,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,0.05,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2017,2,2017-02,2017-02,1,2,,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",528240.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",4.1,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,0.85,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2017,3,2017-03,2017-03,1,3,,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",659089.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",4.033333333333333,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,1.1,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2017,4,2017-04,2017-04,2,4,,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",824932.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",3.966666666666667,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,1.1,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2017,5,2017-05,2017-05,2,5,,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",850190.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",3.9,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,1.25,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2017,6,2017-06,2017-06,2,6,,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",906369.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",3.8666666666666663,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,1.2,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2017,7,2017-07,2017-07,3,7,,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",1111763.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",3.9333333333333336,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,1.15,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2017,8,2017-08,2017-08,3,8,,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",1124364.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",4.0,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,1.65,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2017,9,2017-09,2017-09,3,9,,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",958206.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",4.066666666666666,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,1.55,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2017,10,2017-10,2017-10,4,10,,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",940629.0,tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",3.9333333333333336,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,1.55,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
