year,month,month_id,month_label,quarter,airport_passengers_international,tourism_demand_air_passengers_international,accommodation_nights_spent,unemployment_rate_percent,hicp_restaurants_hotels_index,hicp_restaurants_hotels_yoy,source_value_raw_airport,source_dataset_airport,source_airport_code_airport,source_scope_airport,source_value_raw_tourism,source_dataset_tourism,source_geo_tourism,source_scope_tourism,source_dataset_accommodation,source_geo_accommodation,source_scope_accommodation,source_dataset_labour,source_geo_labour,source_scope_labour,source_dataset_index_cpi,source_dataset_yoy_cpi,source_scope_cpi,period_date,month_num,airport_passengers_international__winsorized,airport_passengers_international__score_0_100,airport_passengers_international__used_flag,tourism_demand_air_passengers_international__winsorized,tourism_demand_air_passengers_international__score_0_100,tourism_demand_air_passengers_international__used_flag,accommodation_nights_spent__winsorized,accommodation_nights_spent__score_0_100,accommodation_nights_spent__used_flag,footfall_proxy_features_available,footfall_proxy_air_component_present_flag,footfall_proxy_core_components_present,external_context_flow_score_0_100_raw,external_context_flow_score_0_100,external_context_flow_band,footfall_proxy_signal_quality,footfall_proxy_weight_regime,external_context_flow_method,external_context_flow_inputs,external_context_flow_note
2017,1,2017-01,2017-01,1,,,452424.0,4.166666666666667,,0.05,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending,2017-01-01,1,,,0,,,0,452424.0,19.44,1,1,0,1,19.44,19.44,very low contextual support,limited,accommodation_only,winsorized_percentile_weighted_blend,"airport_passengers_international, tourism_demand_air_passengers_international, accommodation_nights_spent","Monthly external context-support proxy only; not a direct hourly spa demand, outlet traffic, or observed daypart footfall measure. Must be interpreted alongside internal operating proxies for actionable daypart decisions."
2017,2,2017-02,2017-02,1,,,528240.0,4.1,,0.85,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending,2017-02-01,2,,,0,,,0,528240.0,25.93,1,1,0,1,25.93,22.68,low contextual support,limited,accommodation_only,winsorized_percentile_weighted_blend,"airport_passengers_international, tourism_demand_air_passengers_international, accommodation_nights_spent","Monthly external context-support proxy only; not a direct hourly spa demand, outlet traffic, or observed daypart footfall measure. Must be interpreted alongside internal operating proxies for actionable daypart decisions."
2017,3,2017-03,2017-03,1,,,659089.0,4.033333333333333,,1.1,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending,2017-03-01,3,,,0,,,0,659089.0,38.89,1,1,0,1,38.89,28.09,low contextual support,limited,accommodation_only,winsorized_percentile_weighted_blend,"airport_passengers_international, tourism_demand_air_passengers_international, accommodation_nights_spent","Monthly external context-support proxy only; not a direct hourly spa demand, outlet traffic, or observed daypart footfall measure. Must be interpreted alongside internal operating proxies for actionable daypart decisions."
2017,4,2017-04,2017-04,2,,,824932.0,3.966666666666667,,1.1,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending,2017-04-01,4,,,0,,,0,824932.0,54.63,1,1,0,1,54.63,39.82,low contextual support,limited,accommodation_only,winsorized_percentile_weighted_blend,"airport_passengers_international, tourism_demand_air_passengers_international, accommodation_nights_spent","Monthly external context-support proxy only; not a direct hourly spa demand, outlet traffic, or observed daypart footfall measure. Must be interpreted alongside internal operating proxies for actionable daypart decisions."
2017,5,2017-05,2017-05,2,,,850190.0,3.9,,1.25,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending,2017-05-01,5,,,0,,,0,850190.0,58.33,1,1,0,1,58.33,50.62,moderate contextual support,limited,accommodation_only,winsorized_percentile_weighted_blend,"airport_passengers_international, tourism_demand_air_passengers_international, accommodation_nights_spent","Monthly external context-support proxy only; not a direct hourly spa demand, outlet traffic, or observed daypart footfall measure. Must be interpreted alongside internal operating proxies for actionable daypart decisions."
2017,6,2017-06,2017-06,2,,,906369.0,3.866666666666666,,1.2,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending,2017-06-01,6,,,0,,,0,906369.0,64.81,1,1,0,1,64.81,59.26,moderate contextual support,limited,accommodation_only,winsorized_percentile_weighted_blend,"airport_passengers_international, tourism_demand_air_passengers_international, accommodation_nights_spent","Monthly external context-support proxy only; not a direct hourly spa demand, outlet traffic, or observed daypart footfall measure. Must be interpreted alongside internal operating proxies for actionable daypart decisions."
2017,7,2017-07,2017-07,3,,,1111763.0,3.9333333333333336,,1.15,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending,2017-07-01,7,,,0,,,0,1111763.0,87.96,1,1,0,1,87.96,70.37,high contextual support,limited,accommodation_only,winsorized_percentile_weighted_blend,"airport_passengers_international, tourism_demand_air_passengers_international, accommodation_nights_spent","Monthly external context-support proxy only; not a direct hourly spa demand, outlet traffic, or observed daypart footfall measure. Must be interpreted alongside internal operating proxies for actionable daypart decisions."
2017,8,2017-08,2017-08,3,,,1124364.0,4.0,,1.65,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending,2017-08-01,8,,,0,,,0,1124364.0,89.81,1,1,0,1,89.81,80.86,very high contextual support,limited,accommodation_only,winsorized_percentile_weighted_blend,"airport_passengers_international, tourism_demand_air_passengers_international, accommodation_nights_spent","Monthly external context-support proxy only; not a direct hourly spa demand, outlet traffic, or observed daypart footfall measure. Must be interpreted alongside internal operating proxies for actionable daypart decisions."
2017,9,2017-09,2017-09,3,,,958206.0,4.066666666666666,,1.55,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending,2017-09-01,9,,,0,,,0,958206.0,72.22,1,1,0,1,72.22,83.33,very high contextual support,limited,accommodation_only,winsorized_percentile_weighted_blend,"airport_passengers_international, tourism_demand_air_passengers_international, accommodation_nights_spent","Monthly external context-support proxy only; not a direct hourly spa demand, outlet traffic, or observed daypart footfall measure. Must be interpreted alongside internal operating proxies for actionable daypart decisions."
2017,10,2017-10,2017-10,4,,,940629.0,3.9333333333333336,,1.55,,Eurostat estat_ttr00017,MT_LMML,"Passengers carried, total, international",,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy",tour_occ_nim,MT,"Eurostat monthly accommodation proxy (nights spent, Malta)",une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta",,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending,2017-10-01,10,,,0,,,0,940629.0,67.59,1,1,0,1,67.59,76.54,high contextual support,limited,accommodation_only,winsorized_percentile_weighted_blend,"airport_passengers_international, tourism_demand_air_passengers_international, accommodation_nights_spent","Monthly external context-support proxy only; not a direct hourly spa demand, outlet traffic, or observed daypart footfall measure. Must be interpreted alongside internal operating proxies for actionable daypart decisions."
