conflict_resolution_id,entity_scope,outlet_id,outlet_name,therapist_id,therapist_name,treatment_category,treatment_variant,session_duration_min,treatment_key,market_context,period_type,period_month,period_end,rolling_window_weeks,pricing_position,recommended_sell_price_eur,market_price_median_eur,commercial_market_price_median_eur,external_demand_proxy_index,external_stress_flag,revenue_eur,utilization_percent,yield_eur_per_sold_hour,revpath_eur_per_available_hour,bookings_count,rebooking_rate_percent,addon_attach_rate_percent,retail_attach_rate_percent,cancellation_rate_percent,no_show_rate_percent,complaint_rate_percent,schedule_adherence_percent,therapist_consistency_score_0_100,treatment_health_score_0_100,conflict_case_flag,conflict_pattern_code,conflict_pattern_group,conflict_priority_level,primary_tradeoff_dimension,secondary_tradeoff_dimension,root_cause_hypothesis,root_cause_confidence_level,recommended_resolution_path,manager_action_route,pricing_action_flag,staffing_action_flag,training_action_flag,retention_action_flag,governance_review_flag,burnout_guardrail_flag,leakage_risk_flag,score_confidence_level,sample_size_observations,dependency_coverage_flag,qa_status,audit_note,status,avg_capacity_strain_score_0_100,staffing_pressure_days,under_covered_days,tight_covered_days,avg_roster_integrity_score_0_100,watchlist_or_lower_count,coverage_gap_days_total,avg_burnout_risk_score_0_100,elevated_or_higher_count,roster_conflict_type,roster_conflict_severity,roster_conflict_note,month_id,capacity_strain_score_0_100,roster_operational_health_score_0_100,productive_utilization_ratio,coverage_gap_day_ratio,overtime_hour_ratio,burnout_exposure_day_ratio,roster_management_signal,conflict_resolution_score_0_100,conflict_resolution_priority,conflict_story
CRL_00001,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,aromatherapy,standard,60,aromatherapy|standard|60,Malta,monthly,2017-01-01,2017-01-31,12,premium_core,64.0,76.0,76.0,0.883,yes,2672.1,61.64,59.38,36.6,45,50.78,17.87,10.4,10.75,4.2,1.16,86.625,73.87,71.19,yes,HIGH_DEMAND_LOW_YIELD,commercial_tradeoff,high,pricing,none,strong demand but weak monetization,low,review pricing upsell and mix,pricing_review,yes,no,no,no,no,no,no,medium,45,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated,35.23251292879411,0,0,0,91.256944,0,0,27.00430188235294,0,stable_staffing_context,low,No material roster-based conflict override detected.,2017-01-01,0.0,70.0,0.0,0.0,0.0,0.0,stable_controlled,62.953497414241184,controlled,conflict environment remains manageable under current operating rhythm
CRL_00002,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,body_treatment,standard,60,body_treatment|standard|60,Malta,monthly,2017-01-01,2017-01-31,12,premium_core,69.0,77.5,77.5,0.883,yes,2787.96,60.0,66.38,39.83,42,57.46,25.99,10.91,9.54,2.06,1.51,86.625,73.87,74.53,no,NO_CONFLICT,normal,low,none,none,no material conflict detected,low,continue monitoring,standard_review,no,no,no,no,no,no,no,medium,42,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated,35.23251292879411,0,0,0,91.256944,0,0,27.00430188235294,0,stable_staffing_context,low,No material roster-based conflict override detected.,2017-01-01,0.0,70.0,0.0,0.0,0.0,0.0,stable_controlled,62.953497414241184,controlled,conflict environment remains manageable under current operating rhythm
CRL_00003,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,deep_tissue,standard,60,deep_tissue|standard|60,Malta,monthly,2017-01-01,2017-01-31,12,premium_core,78.0,80.0,80.0,0.883,yes,3522.65,62.67,74.95,46.97,47,45.24,23.34,10.26,8.62,3.3,1.82,86.625,73.87,76.88,no,NO_CONFLICT,normal,low,none,none,no material conflict detected,low,continue monitoring,standard_review,no,no,no,no,no,no,no,medium,47,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated,35.23251292879411,0,0,0,91.256944,0,0,27.00430188235294,0,stable_staffing_context,low,No material roster-based conflict override detected.,2017-01-01,0.0,70.0,0.0,0.0,0.0,0.0,stable_controlled,62.953497414241184,controlled,conflict environment remains manageable under current operating rhythm
CRL_00004,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,facial,basic,60,facial|basic|60,Malta,monthly,2017-01-01,2017-01-31,12,premium_core,94.0,100.0,100.0,0.883,yes,3866.8,58.82,96.67,56.86,40,49.26,23.11,9.42,9.93,2.6,2.7,86.625,73.87,80.98,no,NO_CONFLICT,normal,low,none,none,no material conflict detected,low,continue monitoring,standard_review,no,no,no,no,no,no,no,medium,40,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated,35.23251292879411,0,0,0,91.256944,0,0,27.00430188235294,0,stable_staffing_context,low,No material roster-based conflict override detected.,2017-01-01,0.0,70.0,0.0,0.0,0.0,0.0,stable_controlled,62.953497414241184,controlled,conflict environment remains manageable under current operating rhythm
CRL_00005,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,hot_stone,standard,75,hot_stone|standard|75,Malta,monthly,2017-01-01,2017-01-31,12,premium_core,95.0,90.0,90.0,0.883,yes,1540.37,43.15,72.49,31.28,17,54.55,19.66,9.88,10.74,4.9,2.92,86.625,73.87,71.78,no,NO_CONFLICT,normal,low,none,none,no material conflict detected,low,continue monitoring,standard_review,no,no,no,no,no,no,no,medium,17,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated,35.23251292879411,0,0,0,91.256944,0,0,27.00430188235294,0,stable_staffing_context,low,No material roster-based conflict override detected.,2017-01-01,0.0,70.0,0.0,0.0,0.0,0.0,stable_controlled,62.953497414241184,controlled,conflict environment remains manageable under current operating rhythm
CRL_00006,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,massage,standard,60,massage|standard|60,Malta,monthly,2017-01-01,2017-01-31,12,accessible_premium,58.0,85.0,85.0,0.883,yes,2265.06,60.0,53.93,32.36,42,56.37,19.11,14.96,8.48,2.1,1.87,86.625,73.87,67.16,yes,HIGH_DEMAND_LOW_YIELD,commercial_tradeoff,high,pricing,none,strong demand but weak monetization,low,review pricing upsell and mix,pricing_review,yes,no,no,no,no,no,no,medium,42,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated,35.23251292879411,0,0,0,91.256944,0,0,27.00430188235294,0,stable_staffing_context,low,No material roster-based conflict override detected.,2017-01-01,0.0,70.0,0.0,0.0,0.0,0.0,stable_controlled,62.953497414241184,controlled,conflict environment remains manageable under current operating rhythm
CRL_00007,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,reflexology,standard,45,reflexology|standard|45,Malta,monthly,2017-01-01,2017-01-31,12,traffic_builder,34.0,75.0,75.0,0.883,yes,1368.36,52.94,43.44,23.0,42,53.95,27.27,17.05,6.92,4.91,2.67,86.625,73.87,60.34,yes,HIGH_DEMAND_LOW_YIELD,commercial_tradeoff,high,pricing,none,strong demand but weak monetization,low,review pricing upsell and mix,pricing_review,yes,no,no,no,no,no,no,medium,42,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated,35.23251292879411,0,0,0,91.256944,0,0,27.00430188235294,0,stable_staffing_context,low,No material roster-based conflict override detected.,2017-01-01,0.0,70.0,0.0,0.0,0.0,0.0,stable_controlled,62.953497414241184,controlled,conflict environment remains manageable under current operating rhythm
CRL_00008,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,scrub,standard,45,scrub|standard|45,Malta,monthly,2017-01-01,2017-01-31,12,premium_core,52.0,50.0,50.0,0.883,yes,2025.66,52.94,64.31,34.04,42,45.86,20.66,11.44,6.98,2.14,3.32,86.625,73.87,72.59,yes,HIGH_DEMAND_LOW_YIELD,commercial_tradeoff,high,pricing,none,strong demand but weak monetization,low,review pricing upsell and mix,pricing_review,yes,no,no,no,no,no,no,medium,42,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated,35.23251292879411,0,0,0,91.256944,0,0,27.00430188235294,0,stable_staffing_context,low,No material roster-based conflict override detected.,2017-01-01,0.0,70.0,0.0,0.0,0.0,0.0,stable_controlled,62.953497414241184,controlled,conflict environment remains manageable under current operating rhythm
CRL_00009,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,swedish,standard,60,swedish|standard|60,Malta,monthly,2017-01-01,2017-01-31,12,premium_core,64.0,69.5,69.5,0.883,yes,2527.98,60.0,60.19,36.11,42,54.44,16.89,17.88,8.71,2.42,3.16,86.625,73.87,72.95,yes,HIGH_DEMAND_LOW_YIELD,commercial_tradeoff,high,pricing,none,strong demand but weak monetization,low,review pricing upsell and mix,pricing_review,yes,no,no,no,no,no,no,medium,42,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated,35.23251292879411,0,0,0,91.256944,0,0,27.00430188235294,0,stable_staffing_context,low,No material roster-based conflict override detected.,2017-01-01,0.0,70.0,0.0,0.0,0.0,0.0,stable_controlled,62.953497414241184,controlled,conflict environment remains manageable under current operating rhythm
CRL_00010,treatment_outlet_period,MLT_OUTLET_001,Valletta,,,wrap,standard,60,wrap|standard|60,Malta,monthly,2017-01-01,2017-01-31,12,premium_core,82.0,72.0,72.0,0.883,yes,2419.2,53.33,75.6,40.32,32,53.12,25.26,9.67,10.08,4.12,2.0,86.625,73.87,74.6,no,NO_CONFLICT,normal,low,none,none,no material conflict detected,low,continue monitoring,standard_review,no,no,no,no,yes,no,no,medium,32,partial,pending_qa,conflict engine v1 stabilized with therapist context,scaffold_generated,35.23251292879411,0,0,0,91.256944,0,0,27.00430188235294,0,stable_staffing_context,low,No material roster-based conflict override detected.,2017-01-01,0.0,70.0,0.0,0.0,0.0,0.0,stable_controlled,62.953497414241184,controlled,conflict environment remains manageable under current operating rhythm
