period_month,outlet_id,therapist_id,roster_integrity_score_0_100,roster_integrity_band,burnout_risk_score_0_100,burnout_risk_band,burnout_primary_driver,managerial_action_hint,overtime_hours,workload_density_ratio,max_consecutive_workdays,day_off_regularity_ratio,schedule_stability_score_0_100,burnout_exposure_days
2017-01-01,MLT_OUTLET_001,TH_001,96.436512,strong,24.659496235294114,low,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.756253,3,1.0,92.7891,0
2017-01-01,MLT_OUTLET_001,TH_002,86.077376,strong,29.34910752941176,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.668101,4,0.75,73.9243,0
2017-01-01,MLT_OUTLET_002,TH_003,98.206944,strong,23.427784235294116,low,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.627104,4,1.0,94.3967,0
2017-01-01,MLT_OUTLET_002,TH_004,96.32416,strong,23.496087058823527,low,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.6,4,1.0,88.513,0
2017-01-01,MLT_OUTLET_003,TH_005,93.133808,strong,23.28621905882353,low,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.6,3,0.875,84.0119,0
2017-01-01,MLT_OUTLET_003,TH_006,95.633504,strong,23.92202423529412,low,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.607095,4,1.0,86.3547,0
2017-02-01,MLT_OUTLET_001,TH_001,92.699328,strong,26.915210823529414,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.727169,4,1.0,84.9554,0
2017-02-01,MLT_OUTLET_001,TH_002,83.18974933333334,healthy,43.59484007843137,guarded,consecutive_workdays,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.922417,7,1.0,73.1313,1
2017-02-01,MLT_OUTLET_002,TH_003,95.27512,strong,23.257368235294116,low,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.632901,3,0.875,90.7035,0
2017-02-01,MLT_OUTLET_002,TH_004,96.875488,strong,26.241809647058822,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.64048,5,1.0,90.2359,0
2017-02-01,MLT_OUTLET_003,TH_005,90.210688,strong,28.976139058823527,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.6,5,0.75,80.3459,0
2017-02-01,MLT_OUTLET_003,TH_006,95.300112,strong,27.222137411764706,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.645011,5,0.875,93.3716,0
2017-03-01,MLT_OUTLET_001,TH_001,94.70912,strong,31.88525647058824,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.8458,5,1.0,83.466,0
2017-03-01,MLT_OUTLET_001,TH_002,95.491936,strong,25.14626517647059,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.741869,3,1.0,85.9123,0
2017-03-01,MLT_OUTLET_002,TH_003,92.1776,strong,26.87810588235294,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.713605,4,1.0,82.605,0
2017-03-01,MLT_OUTLET_002,TH_004,90.135648,strong,24.914902588235293,low,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.635242,3,0.75,87.7664,0
2017-03-01,MLT_OUTLET_003,TH_005,93.716256,strong,27.740239294117647,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.67712,5,1.0,84.9333,0
2017-03-01,MLT_OUTLET_003,TH_006,95.102848,strong,26.153796705882357,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.693488,4,1.0,84.6964,0
2017-04-01,MLT_OUTLET_001,TH_001,94.782656,strong,27.764504,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.84184,3,1.0,83.6958,0
2017-04-01,MLT_OUTLET_001,TH_002,96.60208,strong,27.402925882352942,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.77047,4,1.0,89.3815,0
2017-04-01,MLT_OUTLET_002,TH_003,91.489056,strong,34.86656870588235,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.888767,6,1.0,83.7133,0
2017-04-01,MLT_OUTLET_002,TH_004,96.694272,strong,26.65716564705882,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.76118,4,1.0,93.7746,0
2017-04-01,MLT_OUTLET_003,TH_005,88.58100800000001,strong,27.06671905882353,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.628611,4,0.875,74.7844,0
2017-04-01,MLT_OUTLET_003,TH_006,86.58016,strong,30.57194,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.6579,5,0.75,78.4005,0
2017-05-01,MLT_OUTLET_001,TH_001,94.74096,strong,29.003657647058823,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.832784,4,1.0,88.2605,0
2017-05-01,MLT_OUTLET_001,TH_002,93.424544,strong,26.812678352941177,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.823475,3,1.0,88.0267,0
2017-05-01,MLT_OUTLET_002,TH_003,96.628256,strong,26.894756941176468,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.74929,4,1.0,89.4633,0
2017-05-01,MLT_OUTLET_002,TH_004,84.70738133333334,healthy,44.34022219607843,guarded,dense_booking_load,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.95365,7,1.0,73.0439,1
2017-05-01,MLT_OUTLET_003,TH_005,94.754368,strong,33.29447670588235,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.821413,6,1.0,83.6074,0
2017-05-01,MLT_OUTLET_003,TH_006,96.643008,strong,25.901295529411765,guarded,mixed_moderate_pressure,Routine monitoring sufficient; current workload is broadly sustainable.,0.0,0.707303,4,1.0,89.5094,0
