period_date,outlet_id,therapist_id,scheduled_hours,booked_hours,productive_capacity_hours,idle_hours,break_hours,recovery_gap_hours,overtime_hours,split_shift_flag,coverage_gap_flag,day_off_flag,worked_flag,day_off_days,worked_days,schedule_stability_score_0_100,workload_density_ratio,consecutive_workdays,burnout_exposure_flag,external_demand_proxy_index
2017-01-01,MLT_OUTLET_001,TH_001,163.2729,101.25,133.8838,32.6338,15.1842,0.6715,0.0,0,0,0,1,8,22,92.7891,0.756253,3,0,88.3
2017-01-01,MLT_OUTLET_001,TH_002,167.7853,91.92,137.5839,45.6639,17.8887,0.7201,0.0,1,0,0,1,6,24,73.9243,0.668101,4,0,88.3
2017-01-01,MLT_OUTLET_002,TH_003,178.2293,91.65,146.148,54.498,18.2044,0.8154,0.0,0,0,0,1,8,22,94.3967,0.627104,4,0,88.3
2017-01-01,MLT_OUTLET_002,TH_004,135.2236,66.53,110.8833,44.3533,13.1848,0.9289,0.0,0,0,0,1,12,18,88.513,0.6,4,0,88.3
2017-01-01,MLT_OUTLET_003,TH_005,170.9553,84.11,140.1833,56.0733,16.0653,0.9026,0.0,0,0,0,1,7,23,84.0119,0.6,3,0,88.3
2017-01-01,MLT_OUTLET_003,TH_006,149.7737,74.56,122.8144,48.2544,14.2142,0.9071,0.0,0,0,0,1,11,19,86.3547,0.607095,4,0,88.3
2017-02-01,MLT_OUTLET_001,TH_001,134.0816,79.95,109.9469,29.9969,12.4234,0.5946,0.0,0,0,0,1,12,18,84.9554,0.727169,4,0,90.2
2017-02-01,MLT_OUTLET_001,TH_002,117.6655,89.0,96.4857,7.4857,12.456,0.6534,0.0,0,1,0,1,12,18,73.1313,0.922417,7,1,90.2
2017-02-01,MLT_OUTLET_002,TH_003,186.1348,96.6,152.6305,56.0305,19.0319,0.8666,0.0,0,0,0,1,7,23,90.7035,0.632901,3,0,90.2
2017-02-01,MLT_OUTLET_002,TH_004,145.0323,76.17,118.9265,42.7565,14.6498,0.9415,0.0,0,0,0,1,10,20,90.2359,0.64048,5,0,90.2
2017-02-01,MLT_OUTLET_003,TH_005,178.6382,87.89,146.4833,58.5933,16.7638,0.772,0.0,0,0,0,1,6,24,80.3459,0.6,5,0,90.2
2017-02-01,MLT_OUTLET_003,TH_006,183.3585,96.98,150.354,53.374,17.2067,0.6982,0.0,0,0,0,1,7,23,93.3716,0.645011,5,0,90.2
2017-03-01,MLT_OUTLET_001,TH_001,156.7573,108.72,128.541,19.821,14.0842,0.7973,0.0,0,0,0,1,8,22,83.466,0.8458,5,0,94.1
2017-03-01,MLT_OUTLET_001,TH_002,153.0412,93.1,125.4938,32.3938,16.3979,0.832,0.0,0,0,0,1,8,22,85.9123,0.741869,3,0,94.1
2017-03-01,MLT_OUTLET_002,TH_003,167.169,97.82,137.0785,39.2585,17.377,0.609,0.0,0,0,0,1,9,21,82.605,0.713605,4,0,94.1
2017-03-01,MLT_OUTLET_002,TH_004,173.6614,90.46,142.4024,51.9424,17.5798,0.5969,0.0,0,0,0,1,6,24,87.7664,0.635242,3,0,94.1
2017-03-01,MLT_OUTLET_003,TH_005,164.56,91.37,134.9392,43.5692,15.3668,0.6586,0.0,0,0,0,1,8,22,84.9333,0.67712,5,0,94.1
2017-03-01,MLT_OUTLET_003,TH_006,157.4227,89.52,129.0866,39.5666,14.9623,0.8382,0.0,0,0,0,1,10,20,84.6964,0.693488,4,0,94.1
2017-04-01,MLT_OUTLET_001,TH_001,122.2206,84.37,100.2209,15.8509,11.0431,0.8196,0.0,0,0,0,1,12,16,83.6958,0.84184,3,0,96.0
2017-04-01,MLT_OUTLET_001,TH_002,127.4958,80.55,104.5465,23.9965,13.4165,0.8149,0.0,0,0,0,1,12,18,89.3815,0.77047,4,0,96.0
2017-04-01,MLT_OUTLET_002,TH_003,140.2876,102.24,115.0358,12.7958,14.772,0.5438,0.0,0,0,0,1,11,19,83.7133,0.888767,6,0,96.0
2017-04-01,MLT_OUTLET_002,TH_004,140.6674,87.8,115.3472,27.5472,13.9173,0.6679,0.0,0,0,0,1,11,19,93.7746,0.76118,4,0,96.0
2017-04-01,MLT_OUTLET_003,TH_005,175.7262,90.58,144.0955,53.5155,16.0653,0.7598,0.0,1,0,0,1,7,23,74.7844,0.628611,4,0,96.0
2017-04-01,MLT_OUTLET_003,TH_006,188.7379,101.82,154.7651,52.9451,17.9548,0.662,0.0,1,0,0,1,6,24,78.4005,0.6579,5,0,96.0
2017-05-01,MLT_OUTLET_001,TH_001,140.3169,95.82,115.0598,19.2398,13.1136,0.6561,0.0,0,0,0,1,11,19,88.2605,0.832784,4,0,98.9
2017-05-01,MLT_OUTLET_001,TH_002,124.0283,83.75,101.7032,17.9532,13.4165,0.5785,0.0,0,0,0,1,12,18,88.0267,0.823475,3,0,98.9
2017-05-01,MLT_OUTLET_002,TH_003,153.3485,94.22,125.7458,31.5258,15.722,0.8882,0.0,0,0,0,1,11,19,89.4633,0.74929,4,0,98.9
2017-05-01,MLT_OUTLET_002,TH_004,123.1085,96.27,100.949,4.679,12.14,0.8079,0.0,0,1,0,1,12,18,73.0439,0.95365,7,1,98.9
2017-05-01,MLT_OUTLET_003,TH_005,130.0258,87.58,106.6211,19.0411,11.6728,0.8847,0.0,0,0,0,1,12,18,83.6074,0.821413,6,0,98.9
2017-05-01,MLT_OUTLET_003,TH_006,128.4163,74.48,105.3014,30.8214,11.9699,0.7537,0.0,0,0,0,1,12,16,89.5094,0.707303,4,0,98.9
2017-06-01,MLT_OUTLET_001,TH_001,150.7967,99.3,123.6533,24.3533,13.8038,0.7837,0.0,0,0,0,1,10,20,94.6687,0.803052,4,0,102.7
2017-06-01,MLT_OUTLET_001,TH_002,123.2212,91.43,101.0414,9.6114,13.4033,0.5614,0.0,0,0,0,1,12,18,91.1092,0.904876,4,0,102.7
2017-06-01,MLT_OUTLET_002,TH_003,134.065,102.24,109.9333,7.6933,13.9135,0.5353,5.7652,0,1,0,1,12,18,67.52,0.930018,7,1,102.7
2017-06-01,MLT_OUTLET_002,TH_004,124.5944,77.99,102.1674,24.1774,12.4523,0.8352,0.0,0,0,0,1,12,17,85.1662,0.763355,5,0,102.7
