outlet_id,outlet_name,market_context,period_type,period_start,period_end,year,month,month_id,rolling_window_weeks,market_regime,outlet_positioning,treatment_category,treatment_variant,session_duration_min,bookings_count,guest_count,sold_hours,hours_available,utilization_percent,revenue_eur,revpath_eur_per_available_hour,yield_eur_per_sold_hour,avg_ticket_eur,rebooking_rate_percent,addon_attach_rate_percent,retail_attach_rate_percent,cancellation_rate_percent,no_show_rate_percent,complaint_rate_percent,service_recovery_rate_percent
MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,2017,1,2017-01,12,pre_covid_growth,premium_core,aromatherapy,standard,60,45,45,45.0,73.0,61.64,2672.1,36.6,59.38,59.38,50.78,17.87,10.4,10.75,4.2,1.16,10.73
MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,2017,1,2017-01,12,pre_covid_growth,premium_core,body_treatment,standard,60,42,42,42.0,70.0,60.0,2787.96,39.83,66.38,66.38,57.46,25.99,10.91,9.54,2.06,1.51,11.87
MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,2017,1,2017-01,12,pre_covid_growth,premium_core,deep_tissue,standard,60,47,47,47.0,75.0,62.67,3522.65,46.97,74.95,74.95,45.24,23.34,10.26,8.62,3.3,1.82,14.97
MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,2017,1,2017-01,12,pre_covid_growth,premium_core,facial,basic,60,40,40,40.0,68.0,58.82,3866.8,56.86,96.67,96.67,49.26,23.11,9.42,9.93,2.6,2.7,21.18
MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,2017,1,2017-01,12,pre_covid_growth,premium_core,hot_stone,standard,75,17,17,21.25,49.25,43.15,1540.37,31.28,72.49,90.61,54.55,19.66,9.88,10.74,4.9,2.92,24.44
MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,2017,1,2017-01,12,pre_covid_growth,premium_core,massage,standard,60,42,42,42.0,70.0,60.0,2265.06,32.36,53.93,53.93,56.37,19.11,14.96,8.48,2.1,1.87,15.99
MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,2017,1,2017-01,12,pre_covid_growth,premium_core,reflexology,standard,45,42,42,31.5,59.5,52.94,1368.36,23.0,43.44,32.58,53.95,27.27,17.05,6.92,4.91,2.67,24.99
MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,2017,1,2017-01,12,pre_covid_growth,premium_core,scrub,standard,45,42,42,31.5,59.5,52.94,2025.66,34.04,64.31,48.23,45.86,20.66,11.44,6.98,2.14,3.32,27.27
MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,2017,1,2017-01,12,pre_covid_growth,premium_core,swedish,standard,60,42,42,42.0,70.0,60.0,2527.98,36.11,60.19,60.19,54.44,16.89,17.88,8.71,2.42,3.16,24.97
MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,2017,1,2017-01,12,pre_covid_growth,premium_core,wrap,standard,60,32,32,32.0,60.0,53.33,2419.2,40.32,75.6,75.6,53.12,25.26,9.67,10.08,4.12,2.0,15.49
MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,2017,2,2017-02,12,pre_covid_growth,premium_core,aromatherapy,standard,60,46,46,46.0,74.0,62.16,2826.24,38.19,61.44,61.44,41.14,19.73,11.93,9.12,2.99,3.04,26.7
MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,2017,2,2017-02,12,pre_covid_growth,premium_core,body_treatment,standard,60,43,43,43.0,71.0,60.56,2911.1,41.0,67.7,67.7,52.84,25.13,14.05,8.36,2.36,3.16,26.81
MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,2017,2,2017-02,12,pre_covid_growth,premium_core,deep_tissue,standard,60,48,48,48.0,76.0,63.16,3653.76,48.08,76.12,76.12,41.94,16.38,14.73,8.14,2.08,1.88,16.01
MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,2017,2,2017-02,12,pre_covid_growth,premium_core,facial,basic,60,40,40,40.0,68.0,58.82,3990.0,58.68,99.75,99.75,53.6,18.75,9.69,7.25,3.23,1.81,14.17
MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,2017,2,2017-02,12,pre_covid_growth,premium_core,hot_stone,standard,75,17,17,21.25,49.25,43.15,1636.93,33.24,77.03,96.29,55.69,25.64,10.68,10.04,3.9,3.5,30.02
MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,2017,2,2017-02,12,pre_covid_growth,premium_core,massage,standard,60,43,43,43.0,71.0,60.56,2433.8,34.28,56.6,56.6,41.98,18.74,12.84,10.48,2.95,3.29,30.34
MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,2017,2,2017-02,12,pre_covid_growth,premium_core,reflexology,standard,45,43,43,32.25,60.25,53.53,1348.05,22.37,41.8,31.35,44.0,17.44,12.04,8.55,3.25,3.64,29.65
MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,2017,2,2017-02,12,pre_covid_growth,premium_core,scrub,standard,45,43,43,32.25,60.25,53.53,2138.82,35.5,66.32,49.74,57.49,27.55,11.27,9.52,3.09,2.39,19.38
MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,2017,2,2017-02,12,pre_covid_growth,premium_core,swedish,standard,60,43,43,43.0,71.0,60.56,2589.03,36.47,60.21,60.21,49.05,16.62,11.51,6.18,3.83,3.54,28.27
MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,2017,2,2017-02,12,pre_covid_growth,premium_core,wrap,standard,60,33,33,33.0,61.0,54.1,2520.21,41.31,76.37,76.37,44.36,24.07,15.85,8.45,4.96,1.67,14.92
MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,2017,3,2017-03,12,pre_covid_growth,premium_core,aromatherapy,standard,60,48,48,48.0,76.0,63.16,2848.8,37.48,59.35,59.35,49.64,17.08,16.52,9.16,3.9,1.9,14.94
MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,2017,3,2017-03,12,pre_covid_growth,premium_core,body_treatment,standard,60,45,45,45.0,73.0,61.64,2870.1,39.32,63.78,63.78,40.3,22.15,11.04,8.95,4.03,2.81,22.03
MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,2017,3,2017-03,12,pre_covid_growth,premium_core,deep_tissue,standard,60,51,51,51.0,79.0,64.56,3928.02,49.72,77.02,77.02,42.48,20.09,10.02,7.93,4.81,3.59,33.22
MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,2017,3,2017-03,12,pre_covid_growth,premium_core,facial,basic,60,42,42,42.0,70.0,60.0,4003.44,57.19,95.32,95.32,49.99,22.36,11.18,9.3,4.45,1.26,11.72
MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,2017,3,2017-03,12,pre_covid_growth,premium_core,hot_stone,standard,75,18,18,22.5,50.5,44.55,1729.8,34.25,76.88,96.1,46.29,24.71,17.07,9.17,3.02,3.48,31.56
MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,2017,3,2017-03,12,pre_covid_growth,premium_core,massage,standard,60,45,45,45.0,73.0,61.64,2518.2,34.5,55.96,55.96,56.17,23.28,9.08,6.42,2.48,1.28,11.33
MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,2017,3,2017-03,12,pre_covid_growth,premium_core,reflexology,standard,45,45,45,33.75,61.75,54.66,1410.75,22.85,41.8,31.35,52.45,23.82,11.02,6.8,3.65,2.99,23.88
MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,2017,3,2017-03,12,pre_covid_growth,premium_core,scrub,standard,45,45,45,33.75,61.75,54.66,2207.7,35.75,65.41,49.06,55.29,23.89,14.11,9.73,3.95,1.26,10.4
MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,2017,3,2017-03,12,pre_covid_growth,premium_core,swedish,standard,60,45,45,45.0,73.0,61.64,2705.4,37.06,60.12,60.12,47.08,26.7,14.68,7.22,4.92,3.23,27.43
MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,2017,3,2017-03,12,pre_covid_growth,premium_core,wrap,standard,60,34,34,34.0,62.0,54.84,2677.5,43.19,78.75,78.75,53.0,19.37,9.22,8.46,2.59,2.81,22.05
MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,2017,4,2017-04,12,pre_covid_growth,premium_core,aromatherapy,standard,60,49,49,49.0,77.0,63.64,3026.73,39.31,61.77,61.77,46.66,16.19,17.35,10.77,4.74,2.2,20.74
MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,2017,4,2017-04,12,pre_covid_growth,premium_core,body_treatment,standard,60,46,46,46.0,74.0,62.16,3130.76,42.31,68.06,68.06,46.93,26.21,11.85,10.27,2.88,1.47,12.7
MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,2017,4,2017-04,12,pre_covid_growth,premium_core,deep_tissue,standard,60,52,52,52.0,80.0,65.0,4073.16,50.91,78.33,78.33,41.75,23.38,17.91,9.48,3.71,1.39,11.89
MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,2017,4,2017-04,12,pre_covid_growth,premium_core,facial,basic,60,43,43,43.0,71.0,60.56,4280.65,60.29,99.55,99.55,52.64,20.31,11.64,9.7,4.09,3.27,29.79
MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,2017,4,2017-04,12,pre_covid_growth,premium_core,hot_stone,standard,75,18,18,22.5,50.5,44.55,1725.84,34.18,76.7,95.88,49.03,25.58,14.85,10.57,3.53,2.97,26.96
MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,2017,4,2017-04,12,pre_covid_growth,premium_core,massage,standard,60,46,46,46.0,74.0,62.16,2618.32,35.38,56.92,56.92,41.69,22.94,9.32,7.69,3.13,2.3,19.78
MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,2017,4,2017-04,12,pre_covid_growth,premium_core,reflexology,standard,45,46,46,34.5,62.5,55.2,1471.54,23.54,42.65,31.99,40.67,25.87,12.24,8.95,2.09,1.36,11.58
MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,2017,4,2017-04,12,pre_covid_growth,premium_core,scrub,standard,45,46,46,34.5,62.5,55.2,2328.06,37.25,67.48,50.61,41.54,16.62,13.78,7.08,3.87,2.51,22.06
MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,2017,4,2017-04,12,pre_covid_growth,premium_core,swedish,standard,60,46,46,46.0,74.0,62.16,2857.06,38.61,62.11,62.11,45.81,25.54,11.44,10.88,3.55,2.23,17.07
MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,2017,4,2017-04,12,pre_covid_growth,premium_core,wrap,standard,60,35,35,35.0,63.0,55.56,2649.85,42.06,75.71,75.71,52.53,20.91,10.56,10.81,4.51,1.44,11.5
MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,2017,5,2017-05,12,pre_covid_growth,premium_core,aromatherapy,standard,60,50,50,50.0,78.0,64.1,3006.0,38.54,60.12,60.12,45.04,27.46,15.64,9.57,3.98,2.55,22.26
MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,2017,5,2017-05,12,pre_covid_growth,premium_core,body_treatment,standard,60,47,47,47.0,75.0,62.67,3080.38,41.07,65.54,65.54,53.64,16.17,10.04,7.24,3.07,1.13,8.56
MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,2017,5,2017-05,12,pre_covid_growth,premium_core,deep_tissue,standard,60,53,53,53.0,81.0,65.43,4128.7,50.97,77.9,77.9,41.76,21.9,13.26,9.52,3.42,1.48,12.43
MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,2017,5,2017-05,12,pre_covid_growth,premium_core,facial,basic,60,44,44,44.0,72.0,61.11,4236.32,58.84,96.28,96.28,40.82,20.5,14.63,9.08,3.91,2.41,22.19
MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,2017,5,2017-05,12,pre_covid_growth,premium_core,hot_stone,standard,75,19,19,23.75,51.75,45.89,1795.69,34.7,75.61,94.51,51.56,16.32,14.27,6.81,2.21,3.63,31.43
MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,2017,5,2017-05,12,pre_covid_growth,premium_core,massage,standard,60,47,47,47.0,75.0,62.67,2583.59,34.45,54.97,54.97,49.82,27.3,12.47,9.22,3.37,3.69,34.37
MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,2017,5,2017-05,12,pre_covid_growth,premium_core,reflexology,standard,45,47,47,35.25,63.25,55.73,1493.66,23.62,42.37,31.78,40.33,17.13,15.15,6.35,2.3,1.2,9.76
MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,2017,5,2017-05,12,pre_covid_growth,premium_core,scrub,standard,45,47,47,35.25,63.25,55.73,2391.36,37.81,67.84,50.88,45.07,17.42,15.27,6.12,4.44,2.76,25.55
MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,2017,5,2017-05,12,pre_covid_growth,premium_core,swedish,standard,60,47,47,47.0,75.0,62.67,2920.58,38.94,62.14,62.14,43.19,25.01,16.26,10.02,2.85,3.77,31.41
MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,2017,5,2017-05,12,pre_covid_growth,premium_core,wrap,standard,60,36,36,36.0,64.0,56.25,2794.32,43.66,77.62,77.62,56.75,26.3,12.86,9.88,3.02,3.1,27.95
MLT_OUTLET_001,Valletta,Malta,monthly,2017-06-01,2017-06-30,2017,6,2017-06,12,pre_covid_growth,premium_core,aromatherapy,standard,60,52,52,52.0,80.0,65.0,3028.48,37.86,58.24,58.24,54.88,19.84,17.06,10.51,3.52,2.09,15.72
MLT_OUTLET_001,Valletta,Malta,monthly,2017-06-01,2017-06-30,2017,6,2017-06,12,pre_covid_growth,premium_core,body_treatment,standard,60,49,49,49.0,77.0,63.64,3321.71,43.14,67.79,67.79,57.1,27.41,14.16,6.46,2.96,2.77,23.25
MLT_OUTLET_001,Valletta,Malta,monthly,2017-06-01,2017-06-30,2017,6,2017-06,12,pre_covid_growth,premium_core,deep_tissue,standard,60,55,55,55.0,83.0,66.27,4118.95,49.63,74.89,74.89,53.54,25.5,16.11,7.64,4.02,1.26,10.66
MLT_OUTLET_001,Valletta,Malta,monthly,2017-06-01,2017-06-30,2017,6,2017-06,12,pre_covid_growth,premium_core,facial,basic,60,46,46,46.0,74.0,62.16,4321.7,58.4,93.95,93.95,55.98,20.21,10.05,8.75,3.32,1.4,12.64
MLT_OUTLET_001,Valletta,Malta,monthly,2017-06-01,2017-06-30,2017,6,2017-06,12,pre_covid_growth,premium_core,hot_stone,standard,75,20,20,25.0,53.0,47.17,1884.8,35.56,75.39,94.24,52.62,16.87,16.4,6.51,2.25,2.98,22.82
MLT_OUTLET_001,Valletta,Malta,monthly,2017-06-01,2017-06-30,2017,6,2017-06,12,pre_covid_growth,premium_core,massage,standard,60,49,49,49.0,77.0,63.64,2635.22,34.22,53.78,53.78,46.67,25.75,17.53,10.93,3.12,3.76,33.87
MLT_OUTLET_001,Valletta,Malta,monthly,2017-06-01,2017-06-30,2017,6,2017-06,12,pre_covid_growth,premium_core,reflexology,standard,45,49,49,36.75,64.75,56.76,1577.31,24.36,42.92,32.19,50.05,21.09,17.16,6.42,4.33,1.31,11.13
MLT_OUTLET_001,Valletta,Malta,monthly,2017-06-01,2017-06-30,2017,6,2017-06,12,pre_covid_growth,premium_core,scrub,standard,45,49,49,36.75,64.75,56.76,2350.04,36.29,63.95,47.96,42.14,17.41,14.84,8.34,2.17,3.09,26.77
MLT_OUTLET_001,Valletta,Malta,monthly,2017-06-01,2017-06-30,2017,6,2017-06,12,pre_covid_growth,premium_core,swedish,standard,60,49,49,49.0,77.0,63.64,3092.88,40.17,63.12,63.12,55.63,18.68,17.67,7.87,2.86,1.03,9.76
MLT_OUTLET_001,Valletta,Malta,monthly,2017-06-01,2017-06-30,2017,6,2017-06,12,pre_covid_growth,premium_core,wrap,standard,60,38,38,38.0,66.0,57.58,2880.78,43.65,75.81,75.81,57.87,16.89,13.98,10.46,3.58,3.71,31.74
MLT_OUTLET_001,Valletta,Malta,monthly,2017-07-01,2017-07-31,2017,7,2017-07,12,pre_covid_growth,premium_core,aromatherapy,standard,60,54,54,54.0,82.0,65.85,3264.84,39.82,60.46,60.46,51.3,23.01,17.11,9.48,3.36,1.13,9.09
MLT_OUTLET_001,Valletta,Malta,monthly,2017-07-01,2017-07-31,2017,7,2017-07,12,pre_covid_growth,premium_core,body_treatment,standard,60,52,52,52.0,80.0,65.0,3536.0,44.2,68.0,68.0,51.16,19.33,10.69,10.45,3.37,2.3,18.86
MLT_OUTLET_001,Valletta,Malta,monthly,2017-07-01,2017-07-31,2017,7,2017-07,12,pre_covid_growth,premium_core,deep_tissue,standard,60,58,58,58.0,86.0,67.44,4433.52,51.55,76.44,76.44,57.75,24.38,13.82,6.39,4.92,1.87,17.04
MLT_OUTLET_001,Valletta,Malta,monthly,2017-07-01,2017-07-31,2017,7,2017-07,12,pre_covid_growth,premium_core,facial,basic,60,48,48,48.0,76.0,63.16,4715.04,62.04,98.23,98.23,54.81,27.4,15.53,6.81,4.73,2.72,22.65
MLT_OUTLET_001,Valletta,Malta,monthly,2017-07-01,2017-07-31,2017,7,2017-07,12,pre_covid_growth,premium_core,hot_stone,standard,75,21,21,26.25,54.25,48.39,2022.51,37.28,77.05,96.31,40.47,20.52,16.29,10.33,2.14,3.76,29.37
MLT_OUTLET_001,Valletta,Malta,monthly,2017-07-01,2017-07-31,2017,7,2017-07,12,pre_covid_growth,premium_core,massage,standard,60,52,52,52.0,80.0,65.0,2900.04,36.25,55.77,55.77,55.16,26.06,13.22,7.9,4.91,2.16,17.39
MLT_OUTLET_001,Valletta,Malta,monthly,2017-07-01,2017-07-31,2017,7,2017-07,12,pre_covid_growth,premium_core,reflexology,standard,45,52,52,39.0,67.0,58.21,1635.92,24.42,41.95,31.46,57.99,27.96,14.0,10.32,4.44,3.15,29.61
