treatment_health_id,outlet_id,outlet_name,market_context,period_type,period_start,period_end,rolling_window_weeks,treatment_category,treatment_variant,session_duration_min,treatment_key,pricing_position,recommended_sell_price_eur,market_price_median_eur,commercial_market_price_median_eur,benchmark_methodology_status,launch_recommendation_flag,external_demand_proxy_index,external_stress_flag,bookings_count,guest_count,sold_hours,hours_available,utilization_percent,revenue_eur,revpath_eur_per_available_hour,yield_eur_per_sold_hour,avg_ticket_eur,rebooking_rate_percent,addon_attach_rate_percent,retail_attach_rate_percent,cancellation_rate_percent,no_show_rate_percent,complaint_rate_percent,service_recovery_rate_percent,demand_strength_score,yield_quality_score,utilization_contribution_score,retention_quality_score,risk_penalty_score,market_fit_score,treatment_health_score_0_100,treatment_health_band,treatment_health_primary_driver,treatment_health_secondary_driver,treatment_health_risk_flag,treatment_health_action_hint,score_confidence_level,sample_size_observations,minimum_sample_rule_applied,data_coverage_flag,source_dependency_status,qa_status,audit_note,status
THS_00001,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-05,2026-01-11,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.92,no,11,11,11.0,19.0,57.89,681.12,35.85,61.92,61.92,41.18,14.5,6.7,11.4,4.1,2.8,22.4,73.5,61.92,57.89,34.51,5.209999999999999,78.4,63.96,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00002,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-05,2026-01-11,12,body_treatment,standard,60,body_treatment|standard|60,premium_core,69.0,77.5,77.5,below_market_median,launch,0.92,no,11,11,11.0,19.0,57.89,771.65,40.61,70.15,70.15,54.2,25.32,8.55,10.0,4.06,1.06,8.48,73.5,70.15,57.89,46.980000000000004,4.43,84.7,68.75,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00003,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-05,2026-01-11,12,deep_tissue,standard,60,deep_tissue|standard|60,premium_core,78.0,80.0,80.0,in_line_with_market_median,launch,0.92,no,11,11,11.0,19.0,57.89,813.56,42.82,73.96,73.96,45.59,16.66,13.34,8.33,3.25,2.57,20.56,73.5,73.96,57.89,38.3575,3.9880000000000004,96.4,69.73,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00004,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-05,2026-01-11,12,facial,basic,60,facial|basic|60,premium_core,94.0,100.0,100.0,in_line_with_market_median,launch,0.92,no,11,11,11.0,19.0,57.89,976.03,51.37,88.73,88.73,51.25,15.19,12.17,8.77,3.37,2.37,18.96,73.5,88.73,57.89,42.235,4.116,89.2,73.02,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00005,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-05,2026-01-11,12,hot_stone,standard,75,hot_stone|standard|75,premium_core,95.0,90.0,90.0,in_line_with_market_median,launch,0.92,no,6,6,7.5,15.5,48.39,563.88,36.38,75.18,93.98,38.3,27.18,17.59,7.79,3.86,1.51,12.08,56.0,75.18,48.39,35.519999999999996,3.7969999999999997,91.0,63.37,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,low,6,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00006,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-05,2026-01-11,12,massage,standard,60,massage|standard|60,accessible_premium,58.0,85.0,85.0,below_market_median,launch_with_upside_room,0.92,no,11,11,11.0,19.0,57.89,644.93,33.94,58.63,58.63,45.73,13.95,11.94,8.82,2.84,3.05,24.4,73.5,58.63,57.89,37.785,4.108,51.4,60.55,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00007,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-05,2026-01-11,12,reflexology,standard,45,reflexology|standard|45,traffic_builder,34.0,75.0,75.0,below_market_median,launch_as_entry_price,0.92,no,11,11,8.25,16.25,50.77,349.14,21.49,42.32,31.74,42.6,20.32,12.56,11.24,3.16,2.99,23.92,73.5,42.32,50.77,37.03,4.918,26.200000000000003,52.14,watchlist,commercial_performance,market_misalignment,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00008,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-05,2026-01-11,12,scrub,standard,45,scrub|standard|45,premium_core,52.0,50.0,50.0,in_line_with_market_median,launch,0.92,no,11,11,8.25,16.25,50.77,542.52,33.39,65.76,49.32,51.93,21.57,17.06,11.48,4.19,3.82,30.56,73.5,65.76,50.77,44.339999999999996,5.465000000000001,96.4,67.32,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00009,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-05,2026-01-11,12,swedish,standard,60,swedish|standard|60,premium_core,64.0,69.5,69.5,in_line_with_market_median,launch,0.92,no,11,11,11.0,19.0,57.89,660.99,34.79,60.09,60.09,44.9,16.34,15.94,8.38,2.73,1.98,15.84,73.5,60.09,57.89,37.76,3.729,90.1,65.57,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00010,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-05,2026-01-11,12,wrap,standard,60,wrap|standard|60,premium_core,82.0,72.0,72.0,exact_only_locked,review_before_launch,0.92,no,11,11,11.0,19.0,57.89,871.09,45.85,79.19,79.19,51.52,13.19,17.84,8.72,3.73,1.42,11.36,73.5,79.19,57.89,41.9375,4.019,82.0,69.82,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00011,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-12,2026-01-18,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.88,yes,11,11,11.0,19.0,57.89,709.06,37.32,64.46,64.46,49.99,23.66,15.26,9.19,2.97,3.45,27.6,73.5,64.46,57.89,43.4075,4.338,78.4,66.07,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
