treatment_health_id,outlet_id,outlet_name,market_context,period_type,period_start,period_end,rolling_window_weeks,treatment_category,treatment_variant,session_duration_min,treatment_key,pricing_position,recommended_sell_price_eur,market_price_median_eur,commercial_market_price_median_eur,benchmark_methodology_status,launch_recommendation_flag,external_demand_proxy_index,external_stress_flag,bookings_count,guest_count,sold_hours,hours_available,utilization_percent,revenue_eur,revpath_eur_per_available_hour,yield_eur_per_sold_hour,avg_ticket_eur,rebooking_rate_percent,addon_attach_rate_percent,retail_attach_rate_percent,cancellation_rate_percent,no_show_rate_percent,complaint_rate_percent,service_recovery_rate_percent,demand_strength_score,yield_quality_score,utilization_contribution_score,retention_quality_score,risk_penalty_score,market_fit_score,treatment_health_score_0_100,treatment_health_band,treatment_health_primary_driver,treatment_health_secondary_driver,treatment_health_risk_flag,treatment_health_action_hint,score_confidence_level,sample_size_observations,minimum_sample_rule_applied,data_coverage_flag,source_dependency_status,qa_status,audit_note,status
THS_00001,MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.883,yes,45,45,45.0,73.0,61.64,2672.1,36.6,59.38,59.38,50.78,17.87,10.4,10.75,4.2,1.16,10.73,100.0,59.38,61.64,42.5525,4.7170000000000005,78.4,71.19,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,45,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00002,MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,12,body_treatment,standard,60,body_treatment|standard|60,premium_core,69.0,77.5,77.5,below_market_median,launch,0.883,yes,42,42,42.0,70.0,60.0,2787.96,39.83,66.38,66.38,57.46,25.99,10.91,9.54,2.06,1.51,11.87,100.0,66.38,60.0,49.5925,3.7819999999999996,84.7,74.53,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,42,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00003,MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,12,deep_tissue,standard,60,deep_tissue|standard|60,premium_core,78.0,80.0,80.0,in_line_with_market_median,launch,0.883,yes,47,47,47.0,75.0,62.67,3522.65,46.97,74.95,74.95,45.24,23.34,10.26,8.62,3.3,1.82,14.97,100.0,74.95,62.67,39.765,3.9399999999999995,96.4,76.88,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,47,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00004,MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,12,facial,basic,60,facial|basic|60,premium_core,94.0,100.0,100.0,in_line_with_market_median,launch,0.883,yes,40,40,40.0,68.0,58.82,3866.8,56.86,96.67,96.67,49.26,23.11,9.42,9.93,2.6,2.7,21.18,100.0,96.67,58.82,42.7225,4.2989999999999995,89.2,80.98,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,40,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00005,MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,12,hot_stone,standard,75,hot_stone|standard|75,premium_core,95.0,90.0,90.0,in_line_with_market_median,launch,0.883,yes,17,17,21.25,49.25,43.15,1540.37,31.28,72.49,90.61,54.55,19.66,9.88,10.74,4.9,2.92,24.44,94.5,72.49,43.15,45.82749999999999,5.276,91.0,71.78,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,17,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00006,MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,12,massage,standard,60,massage|standard|60,accessible_premium,58.0,85.0,85.0,below_market_median,launch_with_upside_room,0.883,yes,42,42,42.0,70.0,60.0,2265.06,32.36,53.93,53.93,56.37,19.11,14.96,8.48,2.1,1.87,15.99,100.0,53.93,60.0,47.05499999999999,3.548,51.4,67.16,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,42,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00007,MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,12,reflexology,standard,45,reflexology|standard|45,traffic_builder,34.0,75.0,75.0,below_market_median,launch_as_entry_price,0.883,yes,42,42,31.5,59.5,52.94,1368.36,23.0,43.44,32.58,53.95,27.27,17.05,6.92,4.91,2.67,24.99,100.0,43.44,52.94,47.28000000000001,4.083,26.200000000000003,60.34,watchlist,commercial_performance,market_misalignment,risk_normal,maintain and monitor,medium,42,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00008,MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,12,scrub,standard,45,scrub|standard|45,premium_core,52.0,50.0,50.0,in_line_with_market_median,launch,0.883,yes,42,42,31.5,59.5,52.94,2025.66,34.04,64.31,48.23,45.86,20.66,11.44,6.98,2.14,3.32,27.27,100.0,64.31,52.94,39.559999999999995,3.4,96.4,72.59,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,42,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00009,MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,12,swedish,standard,60,swedish|standard|60,premium_core,64.0,69.5,69.5,in_line_with_market_median,launch,0.883,yes,42,42,42.0,70.0,60.0,2527.98,36.11,60.19,60.19,54.44,16.89,17.88,8.71,2.42,3.16,24.97,100.0,60.19,60.0,45.052499999999995,3.971,90.1,72.95,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,42,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00010,MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,12,wrap,standard,60,wrap|standard|60,premium_core,82.0,72.0,72.0,exact_only_locked,review_before_launch,0.883,yes,32,32,32.0,60.0,53.33,2419.2,40.32,75.6,75.6,53.12,25.26,9.67,10.08,4.12,2.0,15.49,100.0,75.6,53.33,46.154999999999994,4.66,82.0,74.6,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,32,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00011,MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.902,no,46,46,46.0,74.0,62.16,2826.24,38.19,61.44,61.44,41.14,19.73,11.93,9.12,2.99,3.04,26.7,100.0,61.44,62.16,35.7875,4.241,78.4,70.73,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,46,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00012,MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,12,body_treatment,standard,60,body_treatment|standard|60,premium_core,69.0,77.5,77.5,below_market_median,launch,0.902,no,43,43,43.0,71.0,60.56,2911.1,41.0,67.7,67.7,52.84,25.13,14.05,8.36,2.36,3.16,26.81,100.0,67.7,60.56,45.9125,3.8479999999999994,84.7,74.35,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,43,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00013,MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,12,deep_tissue,standard,60,deep_tissue|standard|60,premium_core,78.0,80.0,80.0,in_line_with_market_median,launch,0.902,no,48,48,48.0,76.0,63.16,3653.76,48.08,76.12,76.12,41.94,16.38,14.73,8.14,2.08,1.88,16.01,100.0,76.12,63.16,35.55,3.442,96.4,76.62,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,48,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
