outlet_key,month_id,roster_decision_priority_score_0_100,roster_decision_priority_band,management_action_urgency,recommended_management_focus,executive_staffing_posture,external_context_regime,external_signal_confidence_score_0_100,management_priority_read,management_action_posture,external_context_read,staffing_risk_read,executive_summary_headline,executive_summary_detail,management_interpretation_summary,executive_boundary_note
MLT_OUTLET_001,2017-01,30.97348666549584,low,baseline,Maintain baseline staffing discipline,Maintain baseline staffing discipline,soft,50.0,Low deployment priority; maintain current deployment stance and monitor for drift.,Maintain current staffing posture and review only if internal signals deteriorate.,External context is soft; use it as cautionary context rather than as a direct staffing trigger.,Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: maintain baseline staffing discipline and continue monthly monitoring.,"Priority band is low, so baseline staffing discipline remains appropriate. Recommended focus: Maintain baseline staffing discipline. External context is soft with confidence 50.0/100; continue monitoring without forcing unnecessary deployment change.",Low deployment priority; maintain current deployment stance and monitor for drift. | Maintain current staffing posture and review only if internal signals deteriorate. | External context is soft; use it as cautionary context rather than as a direct staffing trigger. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Maintain baseline staffing discipline.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2017-02,36.32269434025285,medium,moderate,Targeted deployment adjustment and monitoring,Targeted deployment adjustment and monitoring,neutral,50.0,Moderate deployment priority; monitor pressure and adjust staffing discipline selectively.,Use targeted staffing adjustment rather than broad deployment changes.,External context is neutral; rely mainly on internal operating signals for deployment decisions.,Staffing risk is watchlist-level; adjust selectively and monitor execution stability.,MLT_OUTLET_001: selective staffing adjustment is appropriate without broad deployment expansion.,"Priority band is medium, so targeted staffing adjustment is more appropriate than structural overreaction. Recommended focus: Targeted deployment adjustment and monitoring. External context is neutral with confidence 50.0/100, and should be used as contextual framing rather than direct demand truth.",Moderate deployment priority; monitor pressure and adjust staffing discipline selectively. | Use targeted staffing adjustment rather than broad deployment changes. | External context is neutral; rely mainly on internal operating signals for deployment decisions. | Staffing risk is watchlist-level; adjust selectively and monitor execution stability. | Focus: Targeted deployment adjustment and monitoring.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2017-03,33.36367452127651,low,baseline,Maintain baseline staffing discipline,Maintain baseline staffing discipline,neutral,50.0,Low deployment priority; maintain current deployment stance and monitor for drift.,Maintain current staffing posture and review only if internal signals deteriorate.,External context is neutral; rely mainly on internal operating signals for deployment decisions.,Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: maintain baseline staffing discipline and continue monthly monitoring.,"Priority band is low, so baseline staffing discipline remains appropriate. Recommended focus: Maintain baseline staffing discipline. External context is neutral with confidence 50.0/100; continue monitoring without forcing unnecessary deployment change.",Low deployment priority; maintain current deployment stance and monitor for drift. | Maintain current staffing posture and review only if internal signals deteriorate. | External context is neutral; rely mainly on internal operating signals for deployment decisions. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Maintain baseline staffing discipline.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2017-04,35.63549315422784,medium,moderate,Targeted deployment adjustment and monitoring,Targeted deployment adjustment and monitoring,neutral,50.0,Moderate deployment priority; monitor pressure and adjust staffing discipline selectively.,Use targeted staffing adjustment rather than broad deployment changes.,External context is neutral; rely mainly on internal operating signals for deployment decisions.,Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: selective staffing adjustment is appropriate without broad deployment expansion.,"Priority band is medium, so targeted staffing adjustment is more appropriate than structural overreaction. Recommended focus: Targeted deployment adjustment and monitoring. External context is neutral with confidence 50.0/100, and should be used as contextual framing rather than direct demand truth.",Moderate deployment priority; monitor pressure and adjust staffing discipline selectively. | Use targeted staffing adjustment rather than broad deployment changes. | External context is neutral; rely mainly on internal operating signals for deployment decisions. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Targeted deployment adjustment and monitoring.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2017-05,36.43840588867451,medium,moderate,Targeted deployment adjustment and monitoring,Targeted deployment adjustment and monitoring,neutral,50.0,Moderate deployment priority; monitor pressure and adjust staffing discipline selectively.,Use targeted staffing adjustment rather than broad deployment changes.,External context is neutral; rely mainly on internal operating signals for deployment decisions.,Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: selective staffing adjustment is appropriate without broad deployment expansion.,"Priority band is medium, so targeted staffing adjustment is more appropriate than structural overreaction. Recommended focus: Targeted deployment adjustment and monitoring. External context is neutral with confidence 50.0/100, and should be used as contextual framing rather than direct demand truth.",Moderate deployment priority; monitor pressure and adjust staffing discipline selectively. | Use targeted staffing adjustment rather than broad deployment changes. | External context is neutral; rely mainly on internal operating signals for deployment decisions. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Targeted deployment adjustment and monitoring.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2017-06,37.60440982786015,medium,moderate,Targeted deployment adjustment and monitoring,Targeted deployment adjustment and monitoring,neutral,50.0,Moderate deployment priority; monitor pressure and adjust staffing discipline selectively.,Use targeted staffing adjustment rather than broad deployment changes.,External context is neutral; rely mainly on internal operating signals for deployment decisions.,Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: selective staffing adjustment is appropriate without broad deployment expansion.,"Priority band is medium, so targeted staffing adjustment is more appropriate than structural overreaction. Recommended focus: Targeted deployment adjustment and monitoring. External context is neutral with confidence 50.0/100, and should be used as contextual framing rather than direct demand truth.",Moderate deployment priority; monitor pressure and adjust staffing discipline selectively. | Use targeted staffing adjustment rather than broad deployment changes. | External context is neutral; rely mainly on internal operating signals for deployment decisions. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Targeted deployment adjustment and monitoring.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2017-07,52.15888891989663,high,high,Coverage stabilization and deployment rebalancing,Coverage stabilization and deployment rebalancing,supportive,50.0,High deployment priority; review staffing deployment and operating pressure immediately.,Stabilize coverage first before expansion-oriented actions.,External context is supportive and broadly aligned with internal operating signals.,Staffing risk is elevated due to coverage pressure and/or burnout exposure.,MLT_OUTLET_001: immediate staffing attention required to stabilize coverage and deployment discipline.,"Priority band is high, so staffing coverage and deployment balance need immediate management attention. Recommended focus: Coverage stabilization and deployment rebalancing. External context is supportive with confidence 50.0/100, but actionability remains anchored to internal operating proxies.",High deployment priority; review staffing deployment and operating pressure immediately. | Stabilize coverage first before expansion-oriented actions. | External context is supportive and broadly aligned with internal operating signals. | Staffing risk is elevated due to coverage pressure and/or burnout exposure. | Focus: Coverage stabilization and deployment rebalancing.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2017-08,46.17115287222216,high,high,Near-term staffing review and management attention,Near-term staffing review and management attention,supportive,50.0,High deployment priority; review staffing deployment and operating pressure immediately.,Prioritize near-term staffing review and deployment discipline.,"External context is supportive, but deployment action should still follow internal operating evidence.",Staffing risk is watchlist-level; adjust selectively and monitor execution stability.,MLT_OUTLET_001: immediate staffing attention required to stabilize coverage and deployment discipline.,"Priority band is high, so staffing coverage and deployment balance need immediate management attention. Recommended focus: Near-term staffing review and management attention. External context is supportive with confidence 50.0/100, but actionability remains anchored to internal operating proxies.","High deployment priority; review staffing deployment and operating pressure immediately. | Prioritize near-term staffing review and deployment discipline. | External context is supportive, but deployment action should still follow internal operating evidence. | Staffing risk is watchlist-level; adjust selectively and monitor execution stability. | Focus: Near-term staffing review and management attention.","Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2017-09,39.39714350175283,medium,moderate,Targeted deployment adjustment and monitoring,Targeted deployment adjustment and monitoring,supportive,50.0,Moderate deployment priority; monitor pressure and adjust staffing discipline selectively.,Use targeted staffing adjustment rather than broad deployment changes.,External context is supportive and broadly aligned with internal operating signals.,Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: selective staffing adjustment is appropriate without broad deployment expansion.,"Priority band is medium, so targeted staffing adjustment is more appropriate than structural overreaction. Recommended focus: Targeted deployment adjustment and monitoring. External context is supportive with confidence 50.0/100, and should be used as contextual framing rather than direct demand truth.",Moderate deployment priority; monitor pressure and adjust staffing discipline selectively. | Use targeted staffing adjustment rather than broad deployment changes. | External context is supportive and broadly aligned with internal operating signals. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Targeted deployment adjustment and monitoring.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
MLT_OUTLET_001,2017-10,38.02776309181803,medium,moderate,Targeted deployment adjustment and monitoring,Targeted deployment adjustment and monitoring,neutral,50.0,Moderate deployment priority; monitor pressure and adjust staffing discipline selectively.,Use targeted staffing adjustment rather than broad deployment changes.,External context is neutral; rely mainly on internal operating signals for deployment decisions.,Staffing risk appears manageable under the current monthly operating pattern.,MLT_OUTLET_001: selective staffing adjustment is appropriate without broad deployment expansion.,"Priority band is medium, so targeted staffing adjustment is more appropriate than structural overreaction. Recommended focus: Targeted deployment adjustment and monitoring. External context is neutral with confidence 50.0/100, and should be used as contextual framing rather than direct demand truth.",Moderate deployment priority; monitor pressure and adjust staffing discipline selectively. | Use targeted staffing adjustment rather than broad deployment changes. | External context is neutral; rely mainly on internal operating signals for deployment decisions. | Staffing risk appears manageable under the current monthly operating pattern. | Focus: Targeted deployment adjustment and monitoring.,"Monthly executive staffing summary only; external proxies function as contextual regime and market-pressure signals, while internal operating proxies remain the primary decision anchor. This layer does not represent direct hourly spa demand, observed daypart traffic, or roster-by-hour truth."
