staff_commercial_scoring_id,month_id,outlet_id,outlet_name,staff_id,staff_name,staff_role,retail_revenue_eur,retail_units_sold,guest_interactions_count,retail_attach_rate,selling_active_month_ratio,retail_revenue_score_0_100,retail_units_score_0_100,retail_attach_rate_score_0_100,selling_consistency_score_0_100,retail_selling_score_0_100,retail_reward_eligibility_flag,reward_bonus_reason,management_signal
SCS_00001,2017-01,MLT_OUTLET_002,Sliema,MLT_OUTLET_002_SPA_ASSISTANT_MANAGER_001,MLT_OUTLET_002_SPA_ASSISTANT_MANAGER_001,spa assistant manager,291.84661897798054,10,35,0.2857142857142857,1.0,83.54702027835464,77.77777777777779,28.57142857142857,100.0,73.57753827007201,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
SCS_00002,2017-01,MLT_OUTLET_002,Sliema,MLT_OUTLET_002_SPA_ATTENDANT_003,MLT_OUTLET_002_SPA_ATTENDANT_003,spa attendant,159.84661897798054,6,35,0.17142857142857143,1.0,31.029722319849707,33.33333333333333,17.142857142857142,100.0,39.17379368984464,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
SCS_00003,2017-01,MLT_OUTLET_002,Sliema,MLT_OUTLET_002_SPA_ATTENDANT_002,MLT_OUTLET_002_SPA_ATTENDANT_002,spa attendant,155.84661897798054,6,35,0.17142857142857143,1.0,29.438289048379858,33.33333333333333,17.142857142857142,100.0,38.5372203812567,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
SCS_00004,2017-01,MLT_OUTLET_002,Sliema,MLT_OUTLET_002_SPA_ATTENDANT_001,MLT_OUTLET_002_SPA_ATTENDANT_001,spa attendant,151.84661897798054,5,35,0.14285714285714285,1.0,27.84685577691001,22.22222222222222,14.285714285714285,100.0,34.55144072346242,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
SCS_00005,2017-01,MLT_OUTLET_002,Sliema,MLT_OUTLET_002_SPA_MANAGER_001,MLT_OUTLET_002_SPA_MANAGER_001,spa manager,211.84661897798054,8,35,0.22857142857142856,1.0,51.7183548489577,55.55555555555556,22.857142857142858,100.0,54.14765939990054,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
SCS_00006,2017-01,MLT_OUTLET_002,Sliema,MLT_OUTLET_002_SPA_RECEPTIONIST_003,MLT_OUTLET_002_SPA_RECEPTIONIST_003,spa receptionist,259.84661897798054,9,35,0.2571428571428571,1.0,70.81555410659587,66.66666666666666,25.71428571428571,100.0,65.13574545216215,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
SCS_00007,2017-01,MLT_OUTLET_002,Sliema,MLT_OUTLET_002_SPA_RECEPTIONIST_002,MLT_OUTLET_002_SPA_RECEPTIONIST_002,spa receptionist,255.84661897798054,9,35,0.2571428571428571,1.0,69.22412083512602,66.66666666666666,25.71428571428571,100.0,64.49917214357421,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
SCS_00008,2017-01,MLT_OUTLET_002,Sliema,MLT_OUTLET_002_SPA_RECEPTIONIST_001,MLT_OUTLET_002_SPA_RECEPTIONIST_001,spa receptionist,251.84661897798054,9,35,0.2571428571428571,1.0,67.63268756365616,66.66666666666666,25.71428571428571,100.0,63.86259883498627,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
SCS_00009,2017-01,MLT_OUTLET_003,St Julians,MLT_OUTLET_003_SPA_ASSISTANT_MANAGER_001,MLT_OUTLET_003_SPA_ASSISTANT_MANAGER_001,spa assistant manager,291.6641789366759,10,35,0.2857142857142857,1.0,83.4744349904095,77.77777777777779,28.57142857142857,100.0,73.54850415489398,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
SCS_00010,2017-01,MLT_OUTLET_003,St Julians,MLT_OUTLET_003_SPA_ATTENDANT_003,MLT_OUTLET_003_SPA_ATTENDANT_003,spa attendant,159.6641789366759,6,35,0.17142857142857143,1.0,30.957137031904576,33.33333333333333,17.142857142857142,100.0,39.144759574666594,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
SCS_00011,2017-01,MLT_OUTLET_003,St Julians,MLT_OUTLET_003_SPA_ATTENDANT_002,MLT_OUTLET_003_SPA_ATTENDANT_002,spa attendant,155.6641789366759,6,35,0.17142857142857143,1.0,29.365703760434727,33.33333333333333,17.142857142857142,100.0,38.50818626607865,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
SCS_00012,2017-01,MLT_OUTLET_003,St Julians,MLT_OUTLET_003_SPA_ATTENDANT_001,MLT_OUTLET_003_SPA_ATTENDANT_001,spa attendant,151.6641789366759,5,35,0.14285714285714285,1.0,27.77427048896488,22.22222222222222,14.285714285714285,100.0,34.52240660828437,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
SCS_00013,2017-01,MLT_OUTLET_003,St Julians,MLT_OUTLET_003_SPA_MANAGER_001,MLT_OUTLET_003_SPA_MANAGER_001,spa manager,211.6641789366759,8,35,0.22857142857142856,1.0,51.64576956101258,55.55555555555556,22.857142857142858,100.0,54.11862528472249,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
SCS_00014,2017-01,MLT_OUTLET_003,St Julians,MLT_OUTLET_003_SPA_RECEPTIONIST_003,MLT_OUTLET_003_SPA_RECEPTIONIST_003,spa receptionist,259.6641789366759,9,35,0.2571428571428571,1.0,70.74296881865074,66.66666666666666,25.71428571428571,100.0,65.1067113369841,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
SCS_00015,2017-01,MLT_OUTLET_003,St Julians,MLT_OUTLET_003_SPA_RECEPTIONIST_002,MLT_OUTLET_003_SPA_RECEPTIONIST_002,spa receptionist,255.6641789366759,9,35,0.2571428571428571,1.0,69.15153554718088,66.66666666666666,25.71428571428571,100.0,64.47013802839616,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
SCS_00016,2017-01,MLT_OUTLET_003,St Julians,MLT_OUTLET_003_SPA_RECEPTIONIST_001,MLT_OUTLET_003_SPA_RECEPTIONIST_001,spa receptionist,251.6641789366759,9,35,0.2571428571428571,1.0,67.56010227571105,66.66666666666666,25.71428571428571,100.0,63.83356471980822,0,Retail selling score below reward threshold; continue coaching and monitor conversion behavior.,stable_controlled_growth
