therapist_consistency_id,therapist_id,therapist_name,outlet_id,outlet_name,market_context,period_type,period_start,period_end,rolling_window_weeks,therapist_role,employment_type,active_flag,hours_available,hours_sold,utilization_percent,revenue_eur,yield_eur_per_sold_hour,revpath_proxy_eur_per_available_hour,avg_ticket_eur,rebooking_rate_percent,addon_attach_rate_percent,retail_attach_rate_percent,cancellation_impact_rate_percent,complaint_rate_percent,service_recovery_rate_percent,schedule_adherence_percent,attendance_reliability_percent,performance_level_score,utilization_stability_score,yield_stability_score,guest_quality_stability_score,commercial_consistency_score,attendance_consistency_score,variance_penalty_score,market_fairness_modifier_score,therapist_consistency_score_0_100,therapist_consistency_band,consistency_primary_gap,consistency_secondary_gap,consistency_variance_flag,coach_priority_flag,burnout_risk_flag,score_confidence_level,observed_weeks_count,observed_months_count,minimum_sample_rule_applied,data_coverage_flag,source_dependency_status,qa_status,audit_note,status,month_id,avg_schedule_stability_score_0_100,avg_workload_density_ratio,productive_utilization_ratio,idle_hour_ratio,overtime_hour_ratio,coverage_gap_day_ratio,burnout_exposure_day_ratio,burnout_risk_score_0_100,burnout_band,integrity_band,coaching_priority_band,managerial_story,therapist_name_perf,upsell_score_0_100,total_commercial_score_0_100,bonus_reward_eligibility_flag,commercial_reward_reason,top3_therapist_flag,bottom3_therapist_flag,refresh_training_required_flag,refresh_training_reason,coaching_action_recommendation
TCS_00001,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,12,therapist,full_time,yes,148.08,101.25,68.38,6077.03,60.02,41.04,63.02,39.95,23.24,8.96,3.49,3.97,31.57,86.78,91.12,54.4185,89.46000000000001,99.5,92.06,31.595,88.95,5.209999999999997,0,72.06,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2017-01,92.7891,0.756253,0.7562528102727888,0.1998727284197194,0.0,0.0,0.0,24.65949623529412,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,57.1734359189888,63.87238975544385,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00002,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,12,therapist,full_time,yes,147.02,79.95,54.38,5020.86,62.8,34.15,65.94,52.55,21.27,10.46,4.48,2.22,18.56,88.63,86.23,52.086,96.54,97.72,95.56,36.91,87.43,2.740000000000004,0,73.18,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2017-02,84.9554,0.727169,0.7271692062259145,0.223721226477011,0.0,0.0,0.0,26.915210823529414,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,52.142366754519074,61.6093017149855,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00003,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,12,therapist,full_time,yes,161.58,108.72,67.29,6929.81,63.74,42.89,66.93,55.78,24.56,17.03,2.22,2.75,21.59,87.3,93.71,57.9115,90.55,96.78,94.5,40.17,90.505,5.618,0,74.29,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2017-03,83.466,0.8458,0.8458001727075408,0.1264438721514086,0.0,0.0,0.0,31.88525647058824,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,58.01035859747319,65.33619722861026,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00004,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,12,therapist,full_time,yes,146.17,84.37,57.72,5080.76,60.22,34.76,63.23,44.86,21.69,16.55,4.97,2.25,18.42,93.36,95.49,51.2615,99.88,99.7,95.5,33.275,94.425,0.6180000000000063,0,74.8,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2017-04,83.6958,0.84184,0.8418403746124811,0.1296909031701693,0.0,0.0,0.0,27.764504,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,51.44973640688483,61.95735502378666,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00005,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,12,therapist,full_time,yes,139.38,95.82,68.75,5631.34,58.77,40.4,61.71,52.82,19.92,17.49,3.68,1.9,16.49,93.07,87.67,55.543000000000006,89.09,98.25,96.2,36.370000000000005,90.37,5.443999999999999,0,73.26,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2017-05,88.2605,0.832784,0.832784343445756,0.1371167692558772,0.0,0.0,0.0,29.003657647058823,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,54.244636592038376,62.80155012562112,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00006,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-06-01,2017-06-30,12,therapist,full_time,yes,161.95,99.3,61.32,6479.32,65.25,40.01,68.51,53.72,25.35,12.36,3.55,3.88,34.88,83.07,96.53,56.16,96.52,95.27,92.24,39.535,89.8,4.059999999999992,0,74.26,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2017-06,94.6687,0.803052,0.8030517584245629,0.1614975659281669,0.0,0.0,0.0,27.535097176470583,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,58.59819190822751,65.64600554952514,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00007,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-07-01,2017-07-31,12,therapist,full_time,yes,145.11,81.86,56.41,5373.29,65.64,37.03,68.92,39.33,25.97,11.55,3.68,2.06,19.4,93.31,85.18,52.5125,98.57,94.88,95.88,32.65,89.245,3.0320000000000045,0,73.03,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2017-07,58.1562,1.06,1.096773588470077,0.0,0.0775262357614962,1.0,1.0,59.09658933333333,guarded,healthy,watchlist,schedule instability is weakening service consistency and operational reliability,Therapist A,42.46384307867899,56.218613693273454,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,0,1,0,Bottom-group therapist ranking; monitor closely and coach as needed.,maintain routine coaching cadence and monitor month-over-month movement
TCS_00008,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-08-01,2017-08-31,12,therapist,full_time,yes,154.78,101.52,65.59,6489.16,63.92,41.93,67.12,39.21,17.64,12.91,3.47,1.04,9.21,86.57,94.16,53.856,92.25,96.6,97.92,28.425,90.365,4.668000000000003,0,72.43,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2017-08,80.282,0.93177,0.9317702257560306,0.0559484189880982,0.0,0.0,0.0,36.29016,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,55.32952647238983,63.024739559814414,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00009,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-09-01,2017-09-30,12,therapist,full_time,yes,138.0,73.33,53.14,4496.6,61.32,32.58,64.39,54.82,16.88,13.55,4.71,3.73,31.83,83.67,90.66,50.816,95.3,99.2,92.54,35.85,87.16499999999999,2.946,0,72.29,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2017-09,92.3771,0.876333,0.8763333819322117,0.1014066122732163,0.0,0.0,0.0,31.534348,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,47.9445621573607,58.90000918654839,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
TCS_00010,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-10-01,2017-10-31,12,therapist,full_time,yes,141.78,89.75,63.3,5626.43,62.69,39.68,65.82,38.54,16.18,9.57,2.55,2.12,19.63,84.15,89.9,52.30449999999999,94.54,97.83,95.76,27.36,87.025,3.4759999999999924,0,71.83,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated,2017-10,83.2775,0.728541,0.7285405243056542,0.2225968242768756,0.0,0.0,0.0,29.148841176470587,guarded,healthy,stable,therapist performance pattern is stable with manageable coaching need,Therapist A,55.44525427630496,62.81838985196774,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution
