therapist_performance_id,month_id,outlet_id,outlet_name,therapist_id,therapist_name,therapist_count_within_outlet_month,therapist_consistency_score_0_100,service_quality_guardrail_score_0_100,treatment_upsell_revenue_eur,upsell_treatment_count,upsell_attach_rate,retail_revenue_eur,upsell_score_0_100,total_commercial_score_0_100,bonus_reward_eligibility_flag,commercial_reward_reason,therapist_rank_within_outlet_month,therapist_reverse_rank_within_outlet_month,top_group_cutoff,bottom_group_cutoff,top3_therapist_flag,bottom3_therapist_flag,refresh_training_required_flag,refresh_training_reason,coaching_action_recommendation,management_signal
TPF_00001,2017-01,MLT_OUTLET_002,Sliema,TH_003,Therapist C,2,73.04,80.06583236470588,50.55544315294117,2.0,0.125,16.455521576470584,60.043666581542766,65.89201661984853,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,2,1,1,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution,stable_controlled_growth
TPF_00002,2017-01,MLT_OUTLET_002,Sliema,TH_004,Therapist D,2,71.15,80.13108694117649,41.734282588235295,2.0,0.16666666666666666,13.180891294117648,45.08987773235451,56.81693275279498,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,2,1,1,1,0,1,0,Bottom-group therapist ranking; monitor closely and coach as needed.,maintain routine coaching cadence and monitor month-over-month movement,stable_controlled_growth
TPF_00003,2017-01,MLT_OUTLET_003,St Julians,TH_005,Therapist E,2,75.25,81.38756714117646,48.3162561882353,2.0,0.13333333333333333,15.604478094117646,56.41714032368627,64.89192717802746,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,2,1,1,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution,stable_controlled_growth
TPF_00004,2017-01,MLT_OUTLET_003,St Julians,TH_006,Therapist F,2,68.78,76.93469636470587,41.57909515294118,2.0,0.16666666666666666,13.09429757647059,44.11691332057306,55.21530232631518,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,2,1,1,1,0,1,0,Bottom-group therapist ranking; monitor closely and coach as needed.,maintain routine coaching cadence and monitor month-over-month movement,stable_controlled_growth
TPF_00005,2017-01,MLT_OUTLET_001,Valletta,TH_001,Therapist A,2,72.06,79.30807556470589,49.27810075294118,2.0,0.11764705882352941,15.860650376470588,57.1734359189888,63.87238975544385,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,2,1,1,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution,stable_controlled_growth
TPF_00006,2017-01,MLT_OUTLET_001,Valletta,TH_002,Therapist B,2,75.68,80.98163387058824,46.60017849411764,2.0,0.13333333333333333,14.819089247058825,52.9552326348073,63.18137794914402,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,2,1,1,1,0,1,0,Bottom-group therapist ranking; monitor closely and coach as needed.,maintain routine coaching cadence and monitor month-over-month movement,stable_controlled_growth
TPF_00007,2017-02,MLT_OUTLET_002,Sliema,TH_003,Therapist C,2,71.44,79.97339476470589,55.672026352941174,3.0,0.17647058823529413,18.444963176470587,70.75914947637713,71.06553221200743,1,"Therapist met upsell, retail, and service-quality guardrail threshold for bonus reward.",1,2,1,1,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect and reward top performer; consider peer-sharing or role-model coaching contribution,stable_controlled_growth
TPF_00008,2017-02,MLT_OUTLET_002,Sliema,TH_004,Therapist D,2,69.86,78.78072855294118,40.525138070588234,2.0,0.15384615384615385,12.612919035294116,42.091043523250455,54.58707393778775,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,2,1,1,1,0,1,1,Bottom-group therapist ranking combined with weak commercial score; targeted refresh training required.,"run targeted refresh training on upsell behavior, guest recommendation quality, and service consistency",stable_controlled_growth
TPF_00009,2017-02,MLT_OUTLET_003,St Julians,TH_005,Therapist E,2,74.52,79.07157914117647,50.1737721882353,2.0,0.13333333333333333,16.226086094117647,59.20290400034781,66.09559720019129,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,1,2,1,1,1,0,0,No immediate refresh training trigger under current modeled threshold.,protect top performer and consider peer-sharing or role-model coaching contribution,stable_controlled_growth
TPF_00010,2017-02,MLT_OUTLET_003,St Julians,TH_006,Therapist F,2,71.94,78.3876793882353,44.046072517647055,2.0,0.13333333333333333,13.82598625882353,47.7205498408986,58.61930241249423,0,Therapist did not yet meet full commercial reward threshold or quality guardrail threshold.,2,1,1,1,0,1,0,Bottom-group therapist ranking; monitor closely and coach as needed.,maintain routine coaching cadence and monitor month-over-month movement,stable_controlled_growth
