year,month,month_id,tourism_demand_air_passengers_international,source_value_raw,source_dataset,source_geo,source_scope
2017,1,2017-01,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2017,2,2017-02,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2017,3,2017-03,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2017,4,2017-04,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2017,5,2017-05,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2017,6,2017-06,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2017,7,2017-07,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2017,8,2017-08,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2017,9,2017-09,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2017,10,2017-10,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2017,11,2017-11,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2017,12,2017-12,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2018,1,2018-01,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2018,2,2018-02,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2018,3,2018-03,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2018,4,2018-04,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2018,5,2018-05,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2018,6,2018-06,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2018,7,2018-07,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2018,8,2018-08,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2018,9,2018-09,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2018,10,2018-10,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2018,11,2018-11,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2018,12,2018-12,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2019,1,2019-01,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2019,2,2019-02,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2019,3,2019-03,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2019,4,2019-04,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2019,5,2019-05,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2019,6,2019-06,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2019,7,2019-07,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
