outlet_name,therapist_id,therapist_name,queue_source,action_type,action_owner,action_scope,priority,action_title,action_rationale,recommended_action,premium anchor,throughput stabilizer,commercial builder,balanced core,coaching priority,premium anchor_share,throughput stabilizer_share,commercial builder_share,balanced core_share,coaching priority_share,people_management_priority,people_management_action
Central Malta Spa,OUTLET_LEVEL,OUTLET_LEVEL,outlet_modeled,staffing_structure_review,Spa Manager,outlet,medium,Outlet staffing structure review,Modeled therapist pool sits above minimum safe roster requirement,"Validate outlet therapist pool against safe roster headcount, premium consistency needs, and recovery guardrails",3,0,6,0,5,0.2143,0.0,0.4286,0.0,0.3571,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,CEN_TH_001,CEN_TH_001,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,0,6,0,5,0.2143,0.0,0.4286,0.0,0.3571,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,CEN_TH_002,CEN_TH_002,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,0,6,0,5,0.2143,0.0,0.4286,0.0,0.3571,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,CEN_TH_003,CEN_TH_003,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,0,6,0,5,0.2143,0.0,0.4286,0.0,0.3571,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,CEN_TH_004,CEN_TH_004,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,0,6,0,5,0.2143,0.0,0.4286,0.0,0.3571,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,CEN_TH_005,CEN_TH_005,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,0,6,0,5,0.2143,0.0,0.4286,0.0,0.3571,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,CEN_TH_006,CEN_TH_006,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,0,6,0,5,0.2143,0.0,0.4286,0.0,0.3571,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,CEN_TH_007,CEN_TH_007,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,0,6,0,5,0.2143,0.0,0.4286,0.0,0.3571,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,CEN_TH_008,CEN_TH_008,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,0,6,0,5,0.2143,0.0,0.4286,0.0,0.3571,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,CEN_TH_009,CEN_TH_009,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,0,6,0,5,0.2143,0.0,0.4286,0.0,0.3571,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,CEN_TH_010,CEN_TH_010,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,0,6,0,5,0.2143,0.0,0.4286,0.0,0.3571,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,CEN_TH_011,CEN_TH_011,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,0,6,0,5,0.2143,0.0,0.4286,0.0,0.3571,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,CEN_TH_012,CEN_TH_012,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,0,6,0,5,0.2143,0.0,0.4286,0.0,0.3571,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,CEN_TH_013,CEN_TH_013,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,0,6,0,5,0.2143,0.0,0.4286,0.0,0.3571,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,CEN_TH_014,CEN_TH_014,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,0,6,0,5,0.2143,0.0,0.4286,0.0,0.3571,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Gozo Spa,OUTLET_LEVEL,OUTLET_LEVEL,outlet_modeled,staffing_structure_review,Spa Manager,outlet,medium,Outlet staffing structure review,Modeled therapist pool sits above minimum safe roster requirement,"Validate outlet therapist pool against safe roster headcount, premium consistency needs, and recovery guardrails",3,4,2,0,1,0.3,0.4,0.2,0.0,0.1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,GOZ_TH_001,GOZ_TH_001,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity,3,4,2,0,1,0.3,0.4,0.2,0.0,0.1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
