therapist_id,home_outlet_name,assigned_service_model,therapist_archetype,treatment_mix_fit_score_0_100,service_consistency_fit_score_0_100,fatigue_exposure_risk_score_0_100,premium_delivery_readiness_score_0_100,throughput_delivery_readiness_score_0_100,outlet_model_fit_score_0_100,coaching_need_score_0_100,coaching_priority,deployment_recommendation
CEN_TH_001,Central Malta Spa,balanced_commercial_pacing,balanced_core,77.1,79.5,25.3,77.7,76.1,77.8,36,medium,use_in_balanced_or_supported_schedule
CEN_TH_002,Central Malta Spa,balanced_commercial_pacing,balanced_core,77.1,79.5,25.3,77.7,76.1,77.8,36,medium,use_in_balanced_or_supported_schedule
CEN_TH_003,Central Malta Spa,balanced_commercial_pacing,balanced_core,77.1,79.5,25.3,77.7,76.1,77.8,36,medium,use_in_balanced_or_supported_schedule
CEN_TH_004,Central Malta Spa,balanced_commercial_pacing,balanced_core,77.1,79.5,25.3,77.7,76.1,77.8,36,medium,use_in_balanced_or_supported_schedule
CEN_TH_005,Central Malta Spa,balanced_commercial_pacing,balanced_core,77.1,79.5,25.3,77.7,76.1,77.8,36,medium,use_in_balanced_or_supported_schedule
CEN_TH_006,Central Malta Spa,balanced_commercial_pacing,balanced_core,77.1,79.5,25.3,77.7,76.1,77.8,36,medium,use_in_balanced_or_supported_schedule
CEN_TH_007,Central Malta Spa,balanced_commercial_pacing,premium_capable,87.8,88.6,22.8,90.0,71.1,83.3,28,low,deploy_to_premium_curated_service
CEN_TH_008,Central Malta Spa,balanced_commercial_pacing,premium_capable,87.8,88.6,22.8,90.0,71.1,83.3,28,low,deploy_to_premium_curated_service
CEN_TH_009,Central Malta Spa,balanced_commercial_pacing,premium_capable,87.8,88.6,22.8,90.0,71.1,83.3,28,low,deploy_to_premium_curated_service
CEN_TH_010,Central Malta Spa,balanced_commercial_pacing,throughput_capable,70.0,73.8,24.2,70.7,85.7,76.7,40,medium,use_in_balanced_or_supported_schedule
CEN_TH_011,Central Malta Spa,balanced_commercial_pacing,throughput_capable,70.0,73.8,24.2,70.7,85.7,76.7,40,medium,use_in_balanced_or_supported_schedule
CEN_TH_012,Central Malta Spa,balanced_commercial_pacing,throughput_capable,70.0,73.8,24.2,70.7,85.7,76.7,40,medium,use_in_balanced_or_supported_schedule
CEN_TH_013,Central Malta Spa,balanced_commercial_pacing,flex_generalist,71.5,73.0,32.0,70.5,71.7,71.7,48,high,coach_before_peak_or_sensitive_deployment
CEN_TH_014,Central Malta Spa,balanced_commercial_pacing,flex_generalist,71.5,73.0,32.0,70.5,71.7,71.7,48,high,coach_before_peak_or_sensitive_deployment
GOZ_TH_001,Gozo Spa,leisure_longer_journey,leisure_specialist,85.7,84.5,25.6,84.3,67.1,78.7,30,low,retain_in_core_outlet_model
GOZ_TH_002,Gozo Spa,leisure_longer_journey,leisure_specialist,85.7,84.5,25.6,84.3,67.1,78.7,30,low,retain_in_core_outlet_model
GOZ_TH_003,Gozo Spa,leisure_longer_journey,leisure_specialist,85.7,84.5,25.6,84.3,67.1,78.7,30,low,retain_in_core_outlet_model
GOZ_TH_004,Gozo Spa,leisure_longer_journey,leisure_specialist,85.7,84.5,25.6,84.3,67.1,78.7,30,low,retain_in_core_outlet_model
GOZ_TH_005,Gozo Spa,leisure_longer_journey,premium_capable,87.8,88.6,22.8,90.0,71.1,83.3,28,low,deploy_to_premium_curated_service
GOZ_TH_006,Gozo Spa,leisure_longer_journey,premium_capable,87.8,88.6,22.8,90.0,71.1,83.3,28,low,deploy_to_premium_curated_service
GOZ_TH_007,Gozo Spa,leisure_longer_journey,premium_capable,87.8,88.6,22.8,90.0,71.1,83.3,28,low,deploy_to_premium_curated_service
GOZ_TH_008,Gozo Spa,leisure_longer_journey,balanced_core,77.1,79.5,25.3,77.7,76.1,77.8,36,medium,use_in_balanced_or_supported_schedule
GOZ_TH_009,Gozo Spa,leisure_longer_journey,balanced_core,77.1,79.5,25.3,77.7,76.1,77.8,36,medium,use_in_balanced_or_supported_schedule
GOZ_TH_010,Gozo Spa,leisure_longer_journey,flex_generalist,71.5,73.0,32.0,70.5,71.7,71.7,48,high,coach_before_peak_or_sensitive_deployment
SLI_TH_001,Sliema / Balluta Spa,premium_consistency_protected,premium_capable,87.8,88.6,22.8,90.0,71.1,89.1,28,low,deploy_to_premium_curated_service
SLI_TH_002,Sliema / Balluta Spa,premium_consistency_protected,premium_capable,87.8,88.6,22.8,90.0,71.1,89.1,28,low,deploy_to_premium_curated_service
SLI_TH_003,Sliema / Balluta Spa,premium_consistency_protected,premium_capable,87.8,88.6,22.8,90.0,71.1,89.1,28,low,deploy_to_premium_curated_service
SLI_TH_004,Sliema / Balluta Spa,premium_consistency_protected,premium_capable,87.8,88.6,22.8,90.0,71.1,89.1,28,low,deploy_to_premium_curated_service
SLI_TH_005,Sliema / Balluta Spa,premium_consistency_protected,premium_capable,87.8,88.6,22.8,90.0,71.1,89.1,28,low,deploy_to_premium_curated_service
SLI_TH_006,Sliema / Balluta Spa,premium_consistency_protected,premium_capable,87.8,88.6,22.8,90.0,71.1,89.1,28,low,deploy_to_premium_curated_service
SLI_TH_007,Sliema / Balluta Spa,premium_consistency_protected,balanced_core,77.1,79.5,25.3,77.7,76.1,78.1,36,medium,retain_in_core_outlet_model
SLI_TH_008,Sliema / Balluta Spa,premium_consistency_protected,balanced_core,77.1,79.5,25.3,77.7,76.1,78.1,36,medium,retain_in_core_outlet_model
SLI_TH_009,Sliema / Balluta Spa,premium_consistency_protected,balanced_core,77.1,79.5,25.3,77.7,76.1,78.1,36,medium,retain_in_core_outlet_model
SLI_TH_010,Sliema / Balluta Spa,premium_consistency_protected,leisure_specialist,85.7,84.5,25.6,84.3,67.1,84.6,30,low,retain_in_core_outlet_model
SLI_TH_011,Sliema / Balluta Spa,premium_consistency_protected,leisure_specialist,85.7,84.5,25.6,84.3,67.1,84.6,30,low,retain_in_core_outlet_model
SLI_TH_012,Sliema / Balluta Spa,premium_consistency_protected,flex_generalist,71.5,73.0,32.0,70.5,71.7,71.5,48,high,coach_before_peak_or_sensitive_deployment
SLI_TH_013,Sliema / Balluta Spa,premium_consistency_protected,flex_generalist,71.5,73.0,32.0,70.5,71.7,71.5,48,high,coach_before_peak_or_sensitive_deployment
