competitor_clean_id,variable_block_id,clean_family,raw_competitor_row_id,competitor_id,competitor_name,outlet_name,location_text,treatment_name_raw,treatment_category,treatment_variant,session_duration_min,target_duration_min,duration_match_type,listed_price_eur,currency,price_type,source_name,source_url,capture_date,capture_method,benchmark_include_flag_raw,benchmark_include_flag_final,exclusion_reason,notes,market_context,status,audit_note
CPCLEAN_010,V2BL_FIX_003,competitor_price_clean,CPRAW_010,CMP_010,Nataraya Day Spa & Wellness,Nataraya Day Spa & Wellness,"Pergola Hotel & Spa, Mellieha, Malta",Aromatherapy Full Body Massage,aromatherapy,standard,60,60,exact_match,76.0,EUR,listed_public_price,nataraya_spa_brochure_2025,https://api.g3.com.mt/media/0xdmtg1c/nataraya-spa-brochure-2025.pdf,2026-03-18,manual_capture,review_pending,include,,real public price observed in spa brochure PDF; exact aromatherapy competitor,Malta,clean_defined,competitor row normalized from raw capture table with duration match classification
CPCLEAN_014,V2BL_FIX_003,competitor_price_clean,CPRAW_014,CMP_014,Nataraya Day Spa & Wellness,Nataraya Day Spa & Wellness,"Pergola Hotel & Spa, Mellieha, Malta",Full Body Scrub,body_treatment,standard,40,60,off_target_duration,59.0,EUR,listed_public_price,nataraya_spa_brochure_mar2024,https://api.g3.com.mt/media/sxbc1gdd/nataraya-spa-brochure-mar2024.pdf,2026-03-18,manual_capture,review_pending,exclude,off_target_duration,real public price observed in spa brochure PDF; body_treatment near-match candidate vs 60-min target,Malta,clean_defined,competitor row normalized from raw capture table with duration match classification
CPCLEAN_011,V2BL_FIX_003,competitor_price_clean,CPRAW_011,CMP_011,Apollo Day Spa,Apollo Day Spa,"Corinthia St George's Bay, St Julian's, Malta",Hydrating Chocolate & Honey Body Mask,body_treatment,standard,45,60,near_match_duration,60.0,EUR,listed_public_price,apollo_day_spa_body_wraps_scrubs,https://www.corinthia.com/en-gb/st-georges-bay/spa-and-leisure/apollo-by-dee-spas/body-wraps-scrubs/,2026-03-18,manual_capture,review_pending,include,,real public price observed on website; mapped to body_treatment near-match candidate vs 60-min target,Malta,clean_defined,competitor row normalized from raw capture table with duration match classification
CPCLEAN_016,V2BL_FIX_003,competitor_price_clean,CPRAW_016,CMP_016,Excelsior Spa & Fitness Centre,Excelsior Hotel,"Floriana, Malta",Full Body Exfoliation with Back Massage,body_treatment,standard,60,60,exact_match,100.0,EUR,listed_public_price,excelsior_spa_menu,https://excelsior.com.mt/wp-content/uploads/2024/03/spa-treatment-menu-digital.pdf,2026-03-18,manual_capture,review_pending,include,,real public price observed in spa menu PDF; exact body_treatment competitor,Malta,clean_defined,competitor row normalized from raw capture table with duration match classification
CPCLEAN_019,V2BL_FIX_003,competitor_price_clean,CPRAW_019,CMP_019,The George Malta Spa,The George Malta,"St Julian's, Malta",Wild Argan Oil Body Scrub,body_treatment,standard,60,60,exact_match,55.0,EUR,listed_public_price,the_george_hotel_spa_menu,https://www.thegeorgemalta.com/downloads/The%20George%20Hotel%20Spa.pdf,2026-03-18,manual_capture,review_pending,include,,real public price observed in spa menu PDF; exact body_treatment competitor,Malta,clean_defined,competitor row normalized from raw capture table with duration match classification
CPCLEAN_002,V2BL_FIX_003,competitor_price_clean,CPRAW_002,CMP_002,Spa Malta - Massage. Sliema,Sliema Outlet,Sliema,Deep tissue massage,deep_tissue,standard,60,60,exact_match,80.0,EUR,listed_public_price,massagesliema_price_page,https://massagesliema.com/price/,2026-03-18,manual_capture,review_pending,include,,real public price observed on website,Malta,clean_defined,competitor row normalized from raw capture table with duration match classification
CPCLEAN_006,V2BL_FIX_003,competitor_price_clean,CPRAW_006,CMP_006,Excelsior Spa & Fitness Centre,Excelsior Hotel,Floriana,Customised Facial,facial,basic,60,60,exact_match,100.0,EUR,listed_public_price,excelsior_spa_menu,https://excelsior.com.mt/wp-content/uploads/2024/03/spa-treatment-menu-digital.pdf,2026-03-18,manual_capture,review_pending,include,,real public price observed in spa menu PDF,Malta,clean_defined,competitor row normalized from raw capture table with duration match classification
CPCLEAN_003,V2BL_FIX_003,competitor_price_clean,CPRAW_003,CMP_003,Spa Malta - Massage. Sliema,Sliema Outlet,Sliema,Hot stone therapy,hot_stone,standard,90,75,near_match_duration,90.0,EUR,listed_public_price,massagesliema_price_page,https://massagesliema.com/price/,2026-03-18,manual_capture,review_pending,include,,real public price observed on website; duration differs from current 75-min pipeline target,Malta,clean_defined,competitor row normalized from raw capture table with duration match classification
CPCLEAN_005,V2BL_FIX_003,competitor_price_clean,CPRAW_005,CMP_005,Excelsior Spa & Fitness Centre,Excelsior Hotel,Floriana,Anti-Stress Full Body,massage,standard,60,60,exact_match,100.0,EUR,listed_public_price,excelsior_spa_menu,https://excelsior.com.mt/wp-content/uploads/2024/03/spa-treatment-menu-digital.pdf,2026-03-18,manual_capture,review_pending,include,,real public price observed in spa menu PDF,Malta,clean_defined,competitor row normalized from raw capture table with duration match classification
CPCLEAN_001,V2BL_FIX_003,competitor_price_clean,CPRAW_001,CMP_001,Spa Malta - Massage. Sliema,Sliema Outlet,Sliema,Relax (anti-stress) massage,massage,standard,60,60,exact_match,70.0,EUR,listed_public_price,massagesliema_price_page,https://massagesliema.com/price/,2026-03-18,manual_capture,review_pending,include,,real public price observed on website,Malta,clean_defined,competitor row normalized from raw capture table with duration match classification
CPCLEAN_004,V2BL_FIX_003,competitor_price_clean,CPRAW_004,CMP_004,Spa Malta - Massage. Sliema,Sliema Outlet,Sliema,Back massage / reflexology,reflexology,standard,40,45,near_match_duration,50.0,EUR,listed_public_price,massagesliema_price_page,https://massagesliema.com/price/,2026-03-18,manual_capture,review_pending,include,,real public price observed on website; mixed label and near-match duration,Malta,clean_defined,competitor row normalized from raw capture table with duration match classification
CPCLEAN_007,V2BL_FIX_003,competitor_price_clean,CPRAW_007,CMP_007,Apollo Day Spa,Corinthia St George's Bay,St Julian's,Reflexology Foot Massage,reflexology,standard,55,45,near_match_duration,100.0,EUR,listed_public_price,apollo_day_spa_massages,https://www.corinthia.com/en-gb/st-georges-bay/spa-and-leisure/apollo-by-dee-spas/massages/,2026-03-18,manual_capture,review_pending,include,,real public price observed on website; exact reflexology service,Malta,clean_defined,competitor row normalized from raw capture table with duration match classification
