treatment_category,treatment_variant,session_duration_min,implied_min_price_low,implied_min_price_mid,implied_min_price_high,standard_price_low,standard_price_mid,standard_price_high,premium_price_low,premium_price_mid,premium_price_high,luxury_price_low,luxury_price_mid,luxury_price_high,recommended_reference_band,positioning_note,final_recommended_price_point
aromatherapy,standard,60,49.34,71.19,93.17,59,79,99,69,89,109,79,99,119,80-100,material intensity more visible; premium uplift can be justified through product and ritual design,89
body_treatment,standard,60,49.61,71.96,94.02,59,79,99,69,89,109,79,99,119,80-100,material intensity more visible; premium uplift can be justified through product and ritual design,89
deep_tissue,standard,60,48.03,68.72,89.67,49,69,99,59,79,109,69,89,119,70-90,labor-and-time led treatment; pricing should not be anchored on consumables alone,79
facial,basic,60,51.57,74.9,98.95,59,79,99,69,89,109,79,99,119,80-100,material intensity more visible; premium uplift can be justified through product and ritual design,89
hot_stone,standard,75,59.7,85.38,111.07,69,89,119,79,99,129,89,109,139,90-110,labor-and-time led treatment; pricing should not be anchored on consumables alone,99
massage,standard,60,48.31,69.13,90.08,49,79,99,59,89,109,69,99,119,80-100,labor-and-time led treatment; pricing should not be anchored on consumables alone,89
reflexology,standard,45,35.44,50.78,66.11,39,59,69,49,69,79,59,79,89,60-80,labor-and-time led treatment; pricing should not be anchored on consumables alone,69
scrub,standard,45,38.86,56.76,74.65,39,59,79,49,69,89,59,79,99,60-80,material intensity more visible; premium uplift can be justified through product and ritual design,69
swedish,standard,60,48.31,69.13,90.08,49,79,99,59,89,109,69,99,119,80-100,labor-and-time led treatment; pricing should not be anchored on consumables alone,89
wrap,standard,60,56.2,81.1,108.32,59,89,109,69,99,129,79,109,139,90-110,material intensity more visible; premium uplift can be justified through product and ritual design,99
