treatment_category,treatment_variant,material_group,material_role,mandatory_flag,default_usage_low,default_usage_mid,default_usage_high,usage_unit,usage_basis_note,reusable_flag,cost_inclusion_flag,remarks
massage,standard,massage_oil_base,primary_medium,yes,12,18,25,ml,per session,no,yes,"base massage oil usage"
swedish,standard,massage_oil_base,primary_medium,yes,12,18,25,ml,per session,no,yes,"lighter glide massage"
deep_tissue,standard,massage_oil_base,primary_medium,yes,10,15,22,ml,per session,no,yes,"lower slip than swedish"
hot_stone,standard,massage_oil_base,primary_medium,yes,10,15,20,ml,per session,no,yes,"oil used with heated stones"
reflexology,standard,foot_cream_or_oil,primary_medium,yes,4,7,10,ml,per session,no,yes,"foot-focused application"
aromatherapy,standard,massage_oil_base,carrier_medium,yes,12,18,25,ml,per session,no,yes,"carrier oil base"
aromatherapy,standard,essential_oil_additive,active_additive,yes,0.5,1.0,1.5,ml,per session,no,yes,"essential oil blend additive"
facial,basic,cleanser,cleanse_step,yes,3,5,7,ml,per session,no,yes,"facial cleanse"
facial,basic,toner,tone_step,yes,2,4,6,ml,per session,no,yes,"facial tone"
facial,basic,facial_exfoliator,exfoliation_step,yes,2,4,6,ml,per session,no,yes,"facial exfoliation"
facial,basic,facial_mask,mask_step,yes,8,12,18,ml,per session,no,yes,"facial mask application"
facial,basic,moisturiser_finish,finish_step,yes,1,2,3,ml,per session,no,yes,"final moisturiser"
body_treatment,standard,body_cream_or_gel,primary_medium,no,10,18,25,ml,per session,no,yes,"cream/gel-led body treatment"
body_treatment,standard,massage_oil_base,alternate_medium,no,10,18,25,ml,per session,no,yes,"oil-led body treatment alternative"
scrub,standard,body_scrub,primary_medium,yes,20,35,50,ml,per session,no,yes,"full-body scrub estimate"
wrap,standard,wrap_product_base,primary_medium,yes,40,60,90,ml,per session,no,yes,"body wrap product allocation"
wrap,standard,moisturiser_finish,finish_step,no,5,8,12,ml,per session,no,yes,"temporary proxy as post-wrap finish until body finish row added"
