treatment_category,treatment_variant,session_duration_min,material_group,benchmark_material_id,unit_cost_basis,usage_qty_low,usage_qty_mid,usage_qty_high,usage_unit,cost_low,cost_mid,cost_high,inflation_index_series,inflation_base_month,inflation_target_month,inflation_factor,inflation_adjusted_cost_low,inflation_adjusted_cost_mid,inflation_adjusted_cost_high,assumption_confidence,notes
massage,standard,60,massage_oil_base,RM0001,per_ml,12,18,25,ml,0.492,0.738,1.025,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,0.492,0.738,1.025,medium,default benchmark for massage_oil_base
swedish,standard,60,massage_oil_base,RM0001,per_ml,12,18,25,ml,0.492,0.738,1.025,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,0.492,0.738,1.025,medium,default benchmark for massage_oil_base
deep_tissue,standard,60,massage_oil_base,RM0001,per_ml,10,15,22,ml,0.41,0.615,0.902,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,0.41,0.615,0.902,medium,default benchmark for massage_oil_base
hot_stone,standard,75,massage_oil_base,RM0001,per_ml,10,15,20,ml,0.41,0.615,0.82,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,0.41,0.615,0.82,medium,default benchmark for massage_oil_base
reflexology,standard,45,foot_cream_or_oil,RM0010,per_ml,4,7,10,ml,0.1332,0.2331,0.333,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,0.1332,0.2331,0.333,medium,default benchmark for foot_cream_or_oil
aromatherapy,standard,60,massage_oil_base,RM0001,per_ml,12,18,25,ml,0.492,0.738,1.025,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,0.492,0.738,1.025,medium,default benchmark for massage_oil_base
aromatherapy,standard,60,essential_oil_additive,RM0007,per_ml,0.5,1.0,1.5,ml,0.309,0.618,0.927,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,0.309,0.618,0.927,medium,default benchmark for essential_oil_additive
facial,basic,60,cleanser,RM0004,per_ml,3,5,7,ml,0.1326,0.221,0.3094,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,0.1326,0.221,0.3094,medium,default benchmark for cleanser
facial,basic,60,toner,RM0005,per_ml,2,4,6,ml,0.0884,0.1768,0.2652,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,0.0884,0.1768,0.2652,medium,default benchmark for toner
facial,basic,60,facial_exfoliator,RM0011,per_ml,2,4,6,ml,0.3162,0.6324,0.9486,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,0.3162,0.6324,0.9486,medium,default benchmark for facial_exfoliator
facial,basic,60,facial_mask,RM0006,per_ml,8,12,18,ml,0.8488,1.2732,1.9098,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,0.8488,1.2732,1.9098,medium,default benchmark for facial_mask
facial,basic,60,moisturiser_finish,RM0012,per_ml,1,2,3,ml,0.0839,0.1678,0.2517,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,0.0839,0.1678,0.2517,medium,default benchmark for moisturiser_finish
body_treatment,standard,60,body_cream_or_gel,RM0015,per_ml,10,18,25,ml,0.472,0.8496,1.18,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,0.472,0.8496,1.18,medium,default benchmark for body_cream_or_gel
body_treatment,standard,60,massage_oil_base,RM0001,per_ml,10,18,25,ml,0.41,0.738,1.025,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,0.41,0.738,1.025,medium,default benchmark for massage_oil_base
scrub,standard,45,body_scrub,RM0013,per_ml,20,35,50,ml,1.158,2.0265,2.895,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,1.158,2.0265,2.895,medium,default benchmark for body_scrub
wrap,standard,60,wrap_product_base,RM0014,per_ml,40,60,90,ml,2.44,3.66,5.49,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,2.44,3.66,5.49,medium,default benchmark for wrap_product_base
wrap,standard,60,moisturiser_finish,RM0012,per_ml,5,8,12,ml,0.4195,0.6712,1.0068,ICP.M.MT.N.121000.4.INX,2026-03,2026-03,1.0,0.4195,0.6712,1.0068,medium,default benchmark for moisturiser_finish
