build_id,treatment_id,treatment_name,treatment_variant,session_duration_min,duration_hours,menu_reference_band,menu_recommended_price,labor_floor_reference,labor_burden_reference,vat_reference,salary_anchor_reference,rent_anchor_reference,material_cost_ratio_input,labor_cost_ratio_input,overhead_cost_ratio_input,material_cost_proxy_input,labor_cost_proxy_input,overhead_cost_proxy_input,direct_labor_formula_slot,payroll_burden_formula_slot,overhead_allocation_formula_slot,material_cost_formula_slot,vat_conversion_formula_slot,gross_profit_formula_slot,net_profit_formula_slot,scenario_base_case,scenario_low_case,scenario_high_case,current_proxy_gross_profit,current_proxy_gross_margin_percent,current_proxy_net_profit,current_proxy_net_margin_percent,build_status,modeling_readiness,notes
TECON_001,TSPINE_001,reflexology,standard,45,0.75,60-80,69,COST_001,COST_002,COST_003,COST_004,COST_005,0.1,0.3,0.12,6.9,20.7,8.28,duration_hours * hourly_labor_cost_assumption,direct_labor_cost * payroll_burden_factor,duration_hours * hourly_overhead_absorption,product_cost_by_treatment_or_proxy,price_ex_vat_or_price_inc_vat_conversion,menu_price - direct_labor - payroll_burden - overhead - material,gross_profit - additional_non_operating_allocations_if_any,pending,pending,pending,41.4,60,33.12,48,structure_ready,ready_for_formula_population,"Economics build sheet created from treatment spine; formula slots are placeholders only, not final economics."
TECON_002,TSPINE_002,scrub,standard,45,0.75,60-80,69,COST_001,COST_002,COST_003,COST_004,COST_005,0.18,0.26,0.12,12.42,17.94,8.28,duration_hours * hourly_labor_cost_assumption,direct_labor_cost * payroll_burden_factor,duration_hours * hourly_overhead_absorption,product_cost_by_treatment_or_proxy,price_ex_vat_or_price_inc_vat_conversion,menu_price - direct_labor - payroll_burden - overhead - material,gross_profit - additional_non_operating_allocations_if_any,pending,pending,pending,38.64,56,30.36,44,structure_ready,ready_for_formula_population,"Economics build sheet created from treatment spine; formula slots are placeholders only, not final economics."
TECON_003,TSPINE_003,aromatherapy,standard,60,1,80-100,89,COST_001,COST_002,COST_003,COST_004,COST_005,0.18,0.26,0.14,16.02,23.14,12.46,duration_hours * hourly_labor_cost_assumption,direct_labor_cost * payroll_burden_factor,duration_hours * hourly_overhead_absorption,product_cost_by_treatment_or_proxy,price_ex_vat_or_price_inc_vat_conversion,menu_price - direct_labor - payroll_burden - overhead - material,gross_profit - additional_non_operating_allocations_if_any,pending,pending,pending,49.84,56,37.38,42,structure_ready,ready_for_formula_population,"Economics build sheet created from treatment spine; formula slots are placeholders only, not final economics."
TECON_004,TSPINE_004,body_treatment,standard,60,1,80-100,89,COST_001,COST_002,COST_003,COST_004,COST_005,0.18,0.26,0.14,16.02,23.14,12.46,duration_hours * hourly_labor_cost_assumption,direct_labor_cost * payroll_burden_factor,duration_hours * hourly_overhead_absorption,product_cost_by_treatment_or_proxy,price_ex_vat_or_price_inc_vat_conversion,menu_price - direct_labor - payroll_burden - overhead - material,gross_profit - additional_non_operating_allocations_if_any,pending,pending,pending,49.84,56,37.38,42,structure_ready,ready_for_formula_population,"Economics build sheet created from treatment spine; formula slots are placeholders only, not final economics."
TECON_005,TSPINE_005,deep_tissue,standard,60,1,70-90,89,COST_001,COST_002,COST_003,COST_004,COST_005,0.1,0.3,0.14,8.9,26.7,12.46,duration_hours * hourly_labor_cost_assumption,direct_labor_cost * payroll_burden_factor,duration_hours * hourly_overhead_absorption,product_cost_by_treatment_or_proxy,price_ex_vat_or_price_inc_vat_conversion,menu_price - direct_labor - payroll_burden - overhead - material,gross_profit - additional_non_operating_allocations_if_any,pending,pending,pending,53.4,60,40.94,46,structure_ready,ready_for_formula_population,"Economics build sheet created from treatment spine; formula slots are placeholders only, not final economics."
TECON_006,TSPINE_006,facial,basic,60,1,80-100,89,COST_001,COST_002,COST_003,COST_004,COST_005,0.18,0.26,0.14,16.02,23.14,12.46,duration_hours * hourly_labor_cost_assumption,direct_labor_cost * payroll_burden_factor,duration_hours * hourly_overhead_absorption,product_cost_by_treatment_or_proxy,price_ex_vat_or_price_inc_vat_conversion,menu_price - direct_labor - payroll_burden - overhead - material,gross_profit - additional_non_operating_allocations_if_any,pending,pending,pending,49.84,56,37.38,42,structure_ready,ready_for_formula_population,"Economics build sheet created from treatment spine; formula slots are placeholders only, not final economics."
TECON_007,TSPINE_007,massage,standard,60,1,80-100,89,COST_001,COST_002,COST_003,COST_004,COST_005,0.1,0.3,0.14,8.9,26.7,12.46,duration_hours * hourly_labor_cost_assumption,direct_labor_cost * payroll_burden_factor,duration_hours * hourly_overhead_absorption,product_cost_by_treatment_or_proxy,price_ex_vat_or_price_inc_vat_conversion,menu_price - direct_labor - payroll_burden - overhead - material,gross_profit - additional_non_operating_allocations_if_any,pending,pending,pending,53.4,60,40.94,46,structure_ready,ready_for_formula_population,"Economics build sheet created from treatment spine; formula slots are placeholders only, not final economics."
TECON_008,TSPINE_008,swedish,standard,60,1,80-100,89,COST_001,COST_002,COST_003,COST_004,COST_005,0.1,0.3,0.14,8.9,26.7,12.46,duration_hours * hourly_labor_cost_assumption,direct_labor_cost * payroll_burden_factor,duration_hours * hourly_overhead_absorption,product_cost_by_treatment_or_proxy,price_ex_vat_or_price_inc_vat_conversion,menu_price - direct_labor - payroll_burden - overhead - material,gross_profit - additional_non_operating_allocations_if_any,pending,pending,pending,53.4,60,40.94,46,structure_ready,ready_for_formula_population,"Economics build sheet created from treatment spine; formula slots are placeholders only, not final economics."
TECON_009,TSPINE_009,wrap,standard,60,1,90-110,99,COST_001,COST_002,COST_003,COST_004,COST_005,0.18,0.26,0.14,17.82,25.74,13.86,duration_hours * hourly_labor_cost_assumption,direct_labor_cost * payroll_burden_factor,duration_hours * hourly_overhead_absorption,product_cost_by_treatment_or_proxy,price_ex_vat_or_price_inc_vat_conversion,menu_price - direct_labor - payroll_burden - overhead - material,gross_profit - additional_non_operating_allocations_if_any,pending,pending,pending,55.44,56,41.58,42,structure_ready,ready_for_formula_population,"Economics build sheet created from treatment spine; formula slots are placeholders only, not final economics."
TECON_010,TSPINE_010,hot_stone,standard,75,1.25,90-110,109,COST_001,COST_002,COST_003,COST_004,COST_005,0.1,0.33,0.16,10.9,35.97,17.44,duration_hours * hourly_labor_cost_assumption,direct_labor_cost * payroll_burden_factor,duration_hours * hourly_overhead_absorption,product_cost_by_treatment_or_proxy,price_ex_vat_or_price_inc_vat_conversion,menu_price - direct_labor - payroll_burden - overhead - material,gross_profit - additional_non_operating_allocations_if_any,pending,pending,pending,62.13,57,44.69,41,structure_ready,ready_for_formula_population,"Economics build sheet created from treatment spine; formula slots are placeholders only, not final economics."
