econ_id,build_id,treatment_id,treatment_name,treatment_variant,session_duration_min,duration_hours,menu_reference_band,menu_price_basecase,material_cost_basecase,labor_cost_basecase,overhead_cost_basecase,total_proxy_cost_basecase,gross_profit_basecase,gross_margin_basecase_percent,net_profit_basecase,net_margin_basecase_percent,proxy_cost_check_gap,economics_mode,scenario_mode,build_status,notes
EV1_001,TECON_001,TSPINE_001,reflexology,standard,45,0.75,60-80,69,6.9,20.7,8.28,35.88,41.4,60,33.12,48,-8.28,proxy_first_v1,base_case_only,basecase_built,Basecase economics derived from locked proxy structure under approved v1 policy.
EV1_002,TECON_002,TSPINE_002,scrub,standard,45,0.75,60-80,69,12.42,17.94,8.28,38.64,38.64,56,30.36,44,-8.28,proxy_first_v1,base_case_only,basecase_built,Basecase economics derived from locked proxy structure under approved v1 policy.
EV1_003,TECON_003,TSPINE_003,aromatherapy,standard,60,1,80-100,89,16.02,23.14,12.46,51.62,49.84,56,37.38,42,-12.46,proxy_first_v1,base_case_only,basecase_built,Basecase economics derived from locked proxy structure under approved v1 policy.
EV1_004,TECON_004,TSPINE_004,body_treatment,standard,60,1,80-100,89,16.02,23.14,12.46,51.62,49.84,56,37.38,42,-12.46,proxy_first_v1,base_case_only,basecase_built,Basecase economics derived from locked proxy structure under approved v1 policy.
EV1_005,TECON_005,TSPINE_005,deep_tissue,standard,60,1,70-90,89,8.9,26.7,12.46,48.06,53.4,60,40.94,46,-12.46,proxy_first_v1,base_case_only,basecase_built,Basecase economics derived from locked proxy structure under approved v1 policy.
EV1_006,TECON_006,TSPINE_006,facial,basic,60,1,80-100,89,16.02,23.14,12.46,51.62,49.84,56,37.38,42,-12.46,proxy_first_v1,base_case_only,basecase_built,Basecase economics derived from locked proxy structure under approved v1 policy.
EV1_007,TECON_007,TSPINE_007,massage,standard,60,1,80-100,89,8.9,26.7,12.46,48.06,53.4,60,40.94,46,-12.46,proxy_first_v1,base_case_only,basecase_built,Basecase economics derived from locked proxy structure under approved v1 policy.
EV1_008,TECON_008,TSPINE_008,swedish,standard,60,1,80-100,89,8.9,26.7,12.46,48.06,53.4,60,40.94,46,-12.46,proxy_first_v1,base_case_only,basecase_built,Basecase economics derived from locked proxy structure under approved v1 policy.
EV1_009,TECON_009,TSPINE_009,wrap,standard,60,1,90-110,99,17.82,25.74,13.86,57.42,55.44,56,41.58,42,-13.86,proxy_first_v1,base_case_only,basecase_built,Basecase economics derived from locked proxy structure under approved v1 policy.
EV1_010,TECON_010,TSPINE_010,hot_stone,standard,75,1.25,90-110,109,10.9,35.97,17.44,64.31,62.13,57,44.69,41,-17.44,proxy_first_v1,base_case_only,basecase_built,Basecase economics derived from locked proxy structure under approved v1 policy.
