treatment_category,treatment_variant,session_duration_min,consumables_cost_low,consumables_cost_mid,consumables_cost_high,labor_cost_low,labor_cost_mid,labor_cost_high,room_overhead_low,room_overhead_mid,room_overhead_high,total_direct_cost_low,total_direct_cost_mid,total_direct_cost_high,target_gross_margin_percent,implied_min_price_low,implied_min_price_mid,implied_min_price_high,recommended_price_band_low,recommended_price_band_mid,recommended_price_band_high,pricing_note
aromatherapy,standard,60,0.801,1.356,1.952,10.0,14.0,18.0,4.0,6.0,8.0,14.801,21.356,27.952,70.0,49.3367,71.1867,93.1733,49.34,71.19,93.17,material intensity more meaningful in pricing logic
body_treatment,standard,60,0.882,1.5876,2.205,10.0,14.0,18.0,4.0,6.0,8.0,14.882,21.5876,28.205,70.0,49.6067,71.9587,94.0167,49.61,71.96,94.02,material intensity more meaningful in pricing logic
deep_tissue,standard,60,0.41,0.615,0.902,10.0,14.0,18.0,4.0,6.0,8.0,14.41,20.615,26.902,70.0,48.0333,68.7167,89.6733,48.03,68.72,89.67,price mostly labor/time-driven rather than consumables-driven
facial,basic,60,1.4699,2.4712,3.6847,10.0,14.0,18.0,4.0,6.0,8.0,15.4699,22.4712,29.6847,70.0,51.5663,74.904,98.949,51.57,74.9,98.95,material intensity more meaningful in pricing logic
hot_stone,standard,75,0.41,0.615,0.82,12.5,17.5,22.5,5.0,7.5,10.0,17.91,25.615,33.32,70.0,59.7,85.3833,111.0667,59.7,85.38,111.07,price mostly labor/time-driven rather than consumables-driven
massage,standard,60,0.492,0.738,1.025,10.0,14.0,18.0,4.0,6.0,8.0,14.492,20.738,27.025,70.0,48.3067,69.1267,90.0833,48.31,69.13,90.08,price mostly labor/time-driven rather than consumables-driven
reflexology,standard,45,0.1332,0.2331,0.333,7.5,10.5,13.5,3.0,4.5,6.0,10.6332,15.2331,19.833,70.0,35.444,50.777,66.11,35.44,50.78,66.11,price mostly labor/time-driven rather than consumables-driven
scrub,standard,45,1.158,2.0265,2.895,7.5,10.5,13.5,3.0,4.5,6.0,11.658,17.0265,22.395,70.0,38.86,56.755,74.65,38.86,56.75,74.65,material intensity more meaningful in pricing logic
swedish,standard,60,0.492,0.738,1.025,10.0,14.0,18.0,4.0,6.0,8.0,14.492,20.738,27.025,70.0,48.3067,69.1267,90.0833,48.31,69.13,90.08,price mostly labor/time-driven rather than consumables-driven
wrap,standard,60,2.8595,4.3312,6.4968,10.0,14.0,18.0,4.0,6.0,8.0,16.8595,24.3312,32.4968,70.0,56.1983,81.104,108.3227,56.2,81.1,108.32,material intensity more meaningful in pricing logic
