outlet_name_final,location_text,rating,review_count,source_name,source_url,outlet_name_final_v2,name_valid_flag,name_address_flag,name_generic_flag,name_area_only_flag,dedupe_key,outlet_name,official_url,notes,source_url_manual,source_url_final
66 Saint Paul's & Spa,"66 St. Pauls Street, Valletta, Malta",,,myoka_contact,https://myoka.com/contact-us,66 Saint Paul's & Spa,True,True,False,False,66 saint paul's &,66 Saint Paul’s & Spa - by appointment only,,need outlet-specific Myoka spa page; do not use contact-us,,https://myoka.com/contact-us
AX Odycy Spa,ax odycY - QAWRA,,,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,AX Odycy Spa,True,False,False,False,ax odycy,ax odycY - QAWRA,,need official outlet page,,https://www.carismaspa.com/carisma-spa-locations-in-malta
Carisma Spa & Wellness,,,,official,https://malta.intercontinental.com/spa,Carisma Spa & Wellness,True,False,False,False,carisma &,CARISMA SPA & WELLNESS,,previous URL was false positive; do not use until outlet-specific page found,,https://malta.intercontinental.com/spa
Carisma Spa Malta,,,1.0,official,https://www.carismaspa.com/,Carisma Spa Malta,True,False,False,False,carisma,Carisma Spa Malta,https://www.carismaspa.com/,brand-level page only; keep as provisional brand source,https://www.carismaspa.com/,https://www.carismaspa.com/
DoubleTree by Hilton Malta,"A charming coastal escape in Qawra, with views of the Mediterranean Sea and St. Paul’s Islands. Enjoy a multisensory journey with five-star facilities.",,,myoka_locations,https://myoka.com/locations,DoubleTree by Hilton Malta,True,False,False,False,doubletree by hilton,DoubleTree by Hilton,,do not use myoka locations page,,https://myoka.com/locations
Essensi Spa,,,,official,https://inialamalta.com/spa/,Essensi Spa,True,False,False,False,essensi,Essensi Spa,https://inialamalta.com/spa/,confirmed official spa page,https://inialamalta.com/spa/,https://inialamalta.com/spa/
Grand Hotel Excelsior Spa,grand hotel excelsior - valletta,,,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,Grand Hotel Excelsior Spa,True,False,False,False,grand excelsior,grand hotel excelsior - valletta,,do not use carisma locations page,,https://www.carismaspa.com/carisma-spa-locations-in-malta
Hilton Malta,Hilton Malta,,,myoka_locations,https://myoka.com/locations,Hilton Malta,True,False,False,False,hilton,Hilton Malta,,do not use myoka locations page,,https://myoka.com/locations
Hugo's H Hotel Spa,hugo's h hotel - st. julian's,,,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,Hugo's H Hotel Spa,True,False,False,False,hugo's h,hugo's h hotel - st. julian's,,do not use carisma locations page,,https://www.carismaspa.com/carisma-spa-locations-in-malta
Hyatt Regency Malta Spa,hyatt regency - st. julian's,,,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,Hyatt Regency Malta Spa,True,False,False,False,hyatt regency,hyatt regency - st. julian's,,do not use carisma locations page,,https://www.carismaspa.com/carisma-spa-locations-in-malta
InterContinental Malta,intercontinental hotel - st. julian's,,,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,InterContinental Malta,True,False,False,False,intercontinental,intercontinental hotel - st. julian's,https://malta.intercontinental.com/spa,confirmed hotel spa page,https://malta.intercontinental.com/spa,https://malta.intercontinental.com/spa
Malta Marriott Resort & Spa,Malta Marriott Resort & Spa,,,myoka_locations,https://myoka.com/locations,Malta Marriott Resort & Spa,True,False,False,False,marriott &,Malta Marriott Resort & Spa,,do not use myoka locations page,,https://myoka.com/locations
Novotel Malta Sliema Spa,novotel malta sliema,,,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,Novotel Malta Sliema Spa,True,False,False,False,novotel sliema,novotel malta sliema,,do not use carisma locations page,,https://www.carismaspa.com/carisma-spa-locations-in-malta
"Radisson Blu Resort & Spa, Malta Golden Sands","Tucked along the golden sands of Malta’s iconic Golden Bay and surrounded by nature, this serene escape offers personalised treatments and luxury facilities.",,,myoka_locations,https://myoka.com/locations,"Radisson Blu Resort & Spa, Malta Golden Sands",True,False,False,False,"radisson blu & , golden sands","Radisson Blu Resort & Spa, Golden Sands",,do not use myoka locations page,,https://myoka.com/locations
Ramla Bay Resort Spa,ramla bay resort - MELLIEĦA,,,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,Ramla Bay Resort Spa,True,False,False,False,ramla bay,ramla bay resort - MELLIEĦA,,do not use carisma locations page,,https://www.carismaspa.com/carisma-spa-locations-in-malta
Riviera Spa Resort,riviera spa resort - MELLIEĦA,,,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,Riviera Spa Resort,True,False,False,False,riviera,riviera spa resort - MELLIEĦA,,do not use carisma locations page,,https://www.carismaspa.com/carisma-spa-locations-in-malta
Salini Resort Spa,"St. Paul’s Bay, Malta",,,myoka_contact,https://myoka.com/contact-us,Salini Resort Spa,True,False,False,False,salini,"Salini Resort, Salina - by appointment only",,need outlet-specific Myoka spa page; do not use contact-us,,https://myoka.com/contact-us
