outlet_name_final,outlet_name,location_text,rating,review_count,source_name,source_url,address_like_flag,time_like_flag,contact_like_flag,area_only_flag,generic_noise_flag,menu_cta_flag,resolved_url,opening_hours_raw,opening_hours_detected_flag,treatment_room_count,facility_capacity_people,hotel_room_count,capacity_note_raw,facilities_raw
66 Saint Paul's & Spa,66 Saint Paul’s & Spa - by appointment only,"66 St. Pauls Street, Valletta, Malta",,,myoka_contact,https://myoka.com/contact-us,False,False,False,False,False,False,https://myoka.com/contact-us,Mon – Fri: 10am - 8pm | Sat - Sun: 9am – 7pm | Mon – Fri: 9am - 8pm | Mon – Sun: 9am – 7pm | Mon – Sun: 10am – 6pm | Mon – Fri: 9am – 5pm,1,,,,,
66 St. Paul's & Spa,66 St. Paul's & Spa,"Nestled just steps from the iconic Lower Barrakka Gardens in the heart of historic Valletta, this wellness destination welcomes guests with a thoughtfully curated collection of exc",,,myoka_locations,https://myoka.com/locations,False,False,False,False,False,False,https://myoka.com/locations,,0,,,,,sauna | steam room | jacuzzi | indoor pool | hammam | fitness
AX Odycy Spa,ax odycY - QAWRA,ax odycY - QAWRA,,,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,False,False,False,False,False,False,https://www.carismaspa.com/carisma-spa-locations-in-malta,09:00 - 20:00 | 10:00 - 20:00 | 10:00 - 19:00 | 09:00 - 18:00 | 09:00 - 19:00,1,,,,,sauna | steam room | jacuzzi | indoor pool | gym | hammam | fitness
Carisma Spa & Wellness,CARISMA SPA & WELLNESS,,,,official,https://malta.intercontinental.com/spa,False,False,False,False,False,False,https://malta.intercontinental.com/spa,9:00 AM – 9:00 PM - YEAR ROUND,1,,,,,hammam | spa day
Carisma Spa Malta,Carisma Spa Malta,,,1.0,official,https://www.carismaspa.com/,False,False,False,False,False,False,https://www.carismaspa.com/,,0,,,,,sauna | steam room | jacuzzi | whirlpool | indoor pool | outdoor pool | hammam | fitness | spa day
DoubleTree by Hilton Malta,DoubleTree by Hilton,"A charming coastal escape in Qawra, with views of the Mediterranean Sea and St. Paul’s Islands. Enjoy a multisensory journey with five-star facilities.",,,myoka_locations,https://myoka.com/locations,False,False,False,False,False,False,https://myoka.com/doubletree,Mon – Sun: 9am – 7pm,1,,,,,steam room | jacuzzi | indoor pool | spa day
Essensi Spa,Essensi Spa,,,,official,https://inialamalta.com/spa/,False,False,False,False,False,False,https://inialamalta.com/spa/,Daily 10:00 am to 7:00 pm,1,,,,,sauna | relaxation area | gym
Grand Hotel Excelsior Spa,grand hotel excelsior - valletta,grand hotel excelsior - valletta,,,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,False,False,False,False,False,False,https://www.carismaspa.com/carisma-spa-locations-in-malta,09:00 - 20:00 | 10:00 - 20:00 | 10:00 - 19:00 | 09:00 - 18:00 | 09:00 - 19:00,1,,,,,sauna | steam room | jacuzzi | indoor pool | gym | hammam | fitness
Hilton Malta,Hilton Malta,Hilton Malta,,,myoka_locations,https://myoka.com/locations,False,False,False,False,False,False,https://myoka.com/fivesenses,Mon – Fri: 10 am - 8 pm | Sat - Sun: 9 am – 7 pm,1,,,,,sauna | steam room | jacuzzi | indoor pool | hammam | hydrotherapy
Hugo's H Hotel Spa,hugo's h hotel - st. julian's,hugo's h hotel - st. julian's,,,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,False,False,False,False,False,False,https://www.carismaspa.com/carisma-spa-locations-in-malta,09:00 - 20:00 | 10:00 - 20:00 | 10:00 - 19:00 | 09:00 - 18:00 | 09:00 - 19:00,1,,,,,sauna | steam room | jacuzzi | indoor pool | gym | hammam | fitness
