outlet_name_final,official_url,notes
66 Saint Paul's & Spa,,need outlet-specific Myoka spa page; do not use contact-us
AX Odycy Spa,,need official outlet page
Carisma Spa & Wellness,,previous URL was false positive; do not use until outlet-specific page found
Carisma Spa Malta,https://www.carismaspa.com/,brand-level page only; keep as provisional brand source
DoubleTree by Hilton Malta,,do not use myoka locations page
Essensi Spa,https://inialamalta.com/spa/,confirmed official spa page
Grand Hotel Excelsior Spa,,do not use carisma locations page
Hilton Malta,,do not use myoka locations page
Hugo's H Hotel Spa,,do not use carisma locations page
Hyatt Regency Malta Spa,,do not use carisma locations page
InterContinental Malta,https://malta.intercontinental.com/spa,confirmed hotel spa page
Malta Marriott Resort & Spa,,do not use myoka locations page
Novotel Malta Sliema Spa,,do not use carisma locations page
"Radisson Blu Resort & Spa, Malta Golden Sands",,do not use myoka locations page
Ramla Bay Resort Spa,,do not use carisma locations page
Riviera Spa Resort,,do not use carisma locations page
Salini Resort Spa,,need outlet-specific Myoka spa page; do not use contact-us
