outlet_name_final,official_url,source_status,entity_scope,notes
66 Saint Paul's & Spa,,unresolved,outlet,need outlet-specific page
AX Odycy Spa,,unresolved,outlet,need official outlet page
Carisma Spa & Wellness,,unresolved,outlet,previous mapping was false positive to InterContinental page
Carisma Spa Malta,https://www.carismaspa.com/,provisional,brand,brand-level source only not outlet-specific
DoubleTree by Hilton Malta,,unresolved,outlet,need outlet-specific page
Essensi Spa,https://inialamalta.com/spa/,confirmed,outlet,official spa page confirmed
Grand Hotel Excelsior Spa,,unresolved,outlet,need outlet-specific page
Hilton Malta,,unresolved,outlet,need outlet-specific page
Hugo's H Hotel Spa,,unresolved,outlet,need outlet-specific page
Hyatt Regency Malta Spa,,unresolved,outlet,need outlet-specific page
InterContinental Malta,https://malta.intercontinental.com/spa,confirmed,outlet,official hotel spa page confirmed
Malta Marriott Resort & Spa,,unresolved,outlet,need outlet-specific page
Novotel Malta Sliema Spa,,unresolved,outlet,need outlet-specific page
"Radisson Blu Resort & Spa, Malta Golden Sands",,unresolved,outlet,need outlet-specific page
Ramla Bay Resort Spa,,unresolved,outlet,need outlet-specific page
Riviera Spa Resort,,unresolved,outlet,need outlet-specific page
Salini Resort Spa,,unresolved,outlet,need outlet-specific Myoka outlet page
