outlet_name_final,source_status,entity_scope,used_url_validated,address_raw,opening_hours_raw,treatment_examples_raw,price_eur_min,price_eur_max,price_eur_raw,facilities_raw,contact_raw,matched_source_count,notes
66 Saint Paul's & Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
AX Odycy Spa,unresolved,outlet,,,,,,,,,,0,need official outlet page
Carisma Spa & Wellness,unresolved,outlet,,,,,,,,,,0,previous mapping was false positive to InterContinental page
DoubleTree by Hilton Malta,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Grand Hotel Excelsior Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Hilton Malta,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Hugo's H Hotel Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Hyatt Regency Malta Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Malta Marriott Resort & Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Novotel Malta Sliema Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
"Radisson Blu Resort & Spa, Malta Golden Sands",unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Ramla Bay Resort Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Riviera Spa Resort,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Salini Resort Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific Myoka outlet page
