outlet_name_final,source_status,entity_scope,used_url_validated,address_raw,opening_hours_raw,treatment_examples_raw,price_eur_min,price_eur_max,price_eur_raw,facilities_raw,contact_raw,matched_source_count,notes
Essensi Spa,confirmed,outlet,https://inialamalta.com/spa/,"Contact Us Online Form phone (+356) 2166 1111 email reservations@inialamalta.com | 11 St Barbara Bastion, Valletta, Malta Copyright 2022, Iniala Harbour House Built by Bison facebook instagram | 11 St Barbara Bastion, Valletta, Malta Copyright 2022, Iniala Harbour House Built by Bison | 11 St Barbara Bastion, Valletta, Malta | We will select the best mix of therapies for you, paired with signature aromatherapy blends and some of the most exclusive beauty brands available.",opening hours Daily 10:00 am to 7:00 pm Kindly note that access to the hotel pool is limited to guests 16 years old and above. | opening hours | Daily 10:00 am to 7:00 pm,aromatherapy,,,,sauna | relaxation area | heated pool | treatment room | treatment rooms,%20(+356)%202166%201111 | info@essensispa.com?subject=Booking | 0035622583602 | info@essensispa.com | (+356) 2166 1111 | reservations@inialamalta.com,1,official spa page confirmed
InterContinental Malta,confirmed,outlet,https://malta.intercontinental.com/spa,"CONTACT +356 2137 7600 Toll Free: +800 1800 1800 Malta@ihg.com St. George's Bay, St. Julian's STJ 3310, Malta IHG BRANDS | +356 2137 7600 Toll Free: +800 1800 1800 Malta@ihg.com St. George's Bay, St. Julian's STJ 3310, Malta | ©2022 InterContinental Malta. All Rights Reserved. This hotel is owned and operated by the Eden Leisure Group.",OPENING HOURS,massage | body treatment,,,,hammam,,1,official hotel spa page confirmed
Carisma Spa Malta,provisional,brand,https://www.carismaspa.com/,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,,massage | facial | scrub | wrap | deep tissue | swedish | hot stone | reflexology,25.0,200.0,"€25, €55, €59, €99, €100, €200",sauna | steam room | steam | indoor pool | outdoor pool | jacuzzi | hammam | fitness | thermal | salt room,+356 27802062 | carismawellness@gmail.com,1,brand-level source only not outlet-specific
66 Saint Paul's & Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
AX Odycy Spa,unresolved,outlet,,,,,,,,,,0,need official outlet page
Carisma Spa & Wellness,unresolved,outlet,,,,,,,,,,0,previous mapping was false positive to InterContinental page
DoubleTree by Hilton Malta,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Grand Hotel Excelsior Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Hilton Malta,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Hugo's H Hotel Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Hyatt Regency Malta Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Malta Marriott Resort & Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Novotel Malta Sliema Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
"Radisson Blu Resort & Spa, Malta Golden Sands",unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Ramla Bay Resort Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Riviera Spa Resort,unresolved,outlet,,,,,,,,,,0,need outlet-specific page
Salini Resort Spa,unresolved,outlet,,,,,,,,,,0,need outlet-specific Myoka outlet page
