record_type,period,metric,value,unit,evidence_status,temporal_relevance,release_date,access_date,source_url,source_detail,model_version,next_review,interpretation_boundary
locality_intensity,2024,valletta_tourism_intensity,69.4,tourists_per_100_residents_per_day,OFFICIAL,CURRENT_CONTEXT,2025-10-15,2026-09-06,https://nso.gov.mt/tourism-intensity-2024/,NSO NR 184/2025 Tables 4-5,2.2,2027-10-31,Average daily tourist presence derived from nights; not annual unique visitors
locality_intensity,2024-08,valletta_august_tourism_intensity,82.0,tourists_per_100_residents_per_day,OFFICIAL,CURRENT_CONTEXT,2025-10-15,2026-09-06,https://nso.gov.mt/tourism-intensity-2024/,NSO NR 184/2025 Tables 6-7,2.2,2027-10-31,Peak-month tourist presence; not unique visitors
locality_intensity,2024-12,valletta_december_tourism_intensity,49.5,tourists_per_100_residents_per_day,OFFICIAL,CURRENT_CONTEXT,2025-10-15,2026-09-06,https://nso.gov.mt/tourism-intensity-2024/,NSO NR 184/2025 Table 8,2.2,2027-10-31,Low-month tourist presence; not unique visitors
locality_survey,2015-02_to_2015-10,independent_valletta_visitor_share,0.677,ratio,OFFICIAL,HISTORICAL,,2026-09-06,https://www.um.edu.mt/library/oar/bitstream/123456789/42819/1/Locality_survey.pdf,MTA Research Unit Valletta-specific sample n=277,2.2,Before commercial launch,Survey composition only; not share of all Malta tourists or a current demand estimate
locality_survey,2015-02_to_2015-10,organised_excursion_share,0.170,ratio,OFFICIAL,HISTORICAL,,2026-09-06,https://www.um.edu.mt/library/oar/bitstream/123456789/42819/1/Locality_survey.pdf,MTA Research Unit Valletta-specific sample n=277,2.2,Before commercial launch,Historical respondent typology only
locality_survey,2015-02_to_2015-10,staying_in_valletta_share,0.121,ratio,OFFICIAL,HISTORICAL,,2026-09-06,https://www.um.edu.mt/library/oar/bitstream/123456789/42819/1/Locality_survey.pdf,MTA Research Unit Valletta-specific sample n=277,2.2,Before commercial launch,Historical respondent typology; not current accommodation share
locality_survey,2015-02_to_2015-10,cruise_day_visitor_share,0.032,ratio,OFFICIAL,HISTORICAL,,2026-09-06,https://www.um.edu.mt/library/oar/bitstream/123456789/42819/1/Locality_survey.pdf,MTA Research Unit Valletta-specific sample n=277,2.2,Before commercial launch,Historical respondent typology only
external_claim,year_not_confirmed,reported_malta_tourists_visiting_valletta_floor,0.90,ratio_floor,VALIDATION REQUIRED,UNDATED,,2026-09-06,https://www.gstc.org/wp-content/uploads/Kevin-Fsadni.pdf,Sustainable Visitor Economy and Liveability presentation states over 90 percent,2.2,Before use in investment decision,Methodology and reference year require confirmation; must not become a final denominator
planning_proxy,2025,indicative_valletta_visitor_floor_proxy,3620079,persons,VALIDATION REQUIRED,SCENARIO,2026-02-12,2026-09-06,https://nso.gov.mt/inbound-tourism-december-2025/,4022310 national inbound tourists multiplied by conservative 90 percent floor,2.2,Before use in investment decision,Scenario only; not an official count of unique Valletta visitors
planning_proxy,Year_1,indicative_local_visitor_volume_comparison_ratio,0.0011867,ratio,VALIDATION REQUIRED,SCENARIO,2026-09-06,2026-09-06,https://nso.gov.mt/inbound-tourism-december-2025/,4295.833 visitor-related occasions divided by 3620079 indicative visitor floor,2.2,Before use in investment decision,Not market share or actual local capture rate; occasions are not unique customers
availability_control,latest_review,valletta_unique_annual_visitors,,persons,VALIDATION REQUIRED,NOT_AVAILABLE,,2026-09-06,,No defensible current unique-visitor denominator located,2.2,When an official locality visitor series becomes available,Required denominator is unavailable
availability_control,latest_review,valletta_actual_capture_rate,,ratio,VALIDATION REQUIRED,NOT_CALCULATED,,2026-09-06,,Cannot calculate without comparable unique-customer numerator and addressable unique-visitor denominator,2.2,After launch and denominator validation,Do not claim until both numerator and denominator are definitionally aligned
