freq,unit,schedule,tra_cov,tra_meas,geo\TIME_PERIOD	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,PAS,TOT,INTL,PAS_CRD,AT	3330414 	3134360 	2399453 	2666760 	2272442 	2306650 	2623376 	2990667 	3087026 	3257454 	3566888 	3716706 	3426810 	3275121 	2524111 	: 
M,PAS,TOT,INTL,PAS_CRD,BA	209599 	166076 	136958 	127195 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,BE	3232027 	3120756 	2554914 	2626376 	2259961 	2287797 	2612165 	3009863 	3105855 	3161324 	3655519 	3687897 	3368409 	3333880 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,BG	1155920 	826810 	622951 	668930 	637818 	638278 	744054 	825254 	934713 	1221357 	1489676 	1569167 	1241201 	927189 	724648 	814967 
M,PAS,TOT,INTL,PAS_CRD,CH	5155387 	5215192 	3724558 	4365809 	3879765 	3953446 	4464469 	5005720 	4898471 	5154180 	5686567 	5759985 	5271838 	5518251 	3926979 	4708288 
M,PAS,TOT,INTL,PAS_CRD,CY	1405449 	1333541 	713615 	653924 	550318 	533743 	703802 	1156345 	1281073 	1432647 	1651332 	1801283 	1532431 	1483051 	859289 	: 
M,PAS,TOT,INTL,PAS_CRD,CZ	1862464 	1543102 	1196985 	1358544 	985484 	1036486 	1234085 	1411092 	1563082 	1942342 	2189126 	2203524 	1985885 	1713179 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,DE	18770594 	18927977 	13105133 	12984472 	11031204 	10846881 	13376430 	16519915 	17714474 	18458031 	19599263 	20797558 	19526068 	20017074 	13685112 	13681130 
M,PAS,TOT,INTL,PAS_CRD,DK	3202159 	3128911 	2343652 	2352666 	2111908 	2159345 	2419867 	2815906 	3072350 	3345064 	3657210 	3459093 	3310620 	3250320 	2517037 	2536942 
M,PAS,TOT,INTL,PAS_CRD,EE	326879 	331275 	243792 	255898 	215512 	213283 	259478 	275273 	306616 	321290 	317706 	326998 	307117 	344252 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL	8194016 	5730968 	1943199 	1848540 	1574338 	1490743 	1968022 	3558706 	6161115 	8315490 	9973927 	10392255 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,ES	20808451 	19892023 	14199085 	14075459 	13026652 	13275302 	15942523 	19094376 	20571897 	21479642 	23200552 	23802742 	21625644 	21012156 	15291262 	15107082 
M,PAS,TOT,INTL,PAS_CRD,EU27_2020	89687568 	83746980 	60501261 	62543766 	55558589 	55545757 	65082943 	78646639 	84987746 	90773094 	99515135 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,FI	1367639 	1408215 	1191180 	1497904 	1244562 	1215219 	1275132 	1289335 	1445233 	1545526 	1575732 	1518044 	1400271 	1460101 	1240151 	1621056 
M,PAS,TOT,INTL,PAS_CRD,FR	13169437 	12765490 	9540122 	10601092 	9508475 	9531276 	10640976 	12898357 	13481452 	13777342 	14817937 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,HR	1647967 	1057012 	350428 	324326 	278986 	264401 	354507 	895529 	1353929 	1784103 	2200012 	2205541 	1741099 	1153126 	381562 	: 
M,PAS,TOT,INTL,PAS_CRD,HU	1688280 	1635997 	1406664 	1496933 	1297598 	1251959 	1474702 	1673666 	1711373 	1709178 	1866987 	1925458 	1813640 	1824701 	1558587 	1647385 
M,PAS,TOT,INTL,PAS_CRD,IE	3799586 	3523821 	2759559 	2809312 	2544877 	2523279 	3072863 	3679692 	4038131 	4236723 	4494678 	4537058 	3977933 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,IS	791679 	717520 	534145 	557698 	472974 	484532 	571190 	658030 	702879 	869197 	994471 	994013 	752198 	660944 	505008 	514092 
M,PAS,TOT,INTL,PAS_CRD,IT	14833568 	13697355 	9473413 	9726249 	8934097 	8925613 	10839716 	13661958 	14558472 	15154738 	16305717 	17072486 	15521904 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,LT	631052 	645177 	486436 	474264 	432544 	429111 	506121 	602128 	672331 	665770 	686131 	704959 	665435 	702944 	525776 	534823 
M,PAS,TOT,INTL,PAS_CRD,LU	492404 	474970 	358558 	376612 	300209 	332123 	379404 	464453 	488801 	484694 	511869 	532430 	494276 	505403 	402763 	404100 
M,PAS,TOT,INTL,PAS_CRD,LV	663658 	666080 	550276 	583993 	457217 	432421 	545771 	580886 	636713 	654180 	701901 	688941 	628387 	673439 	540582 	557499 
M,PAS,TOT,INTL,PAS_CRD,ME	364027 	242751 	117319 	111110 	101747 	91934 	114810 	223370 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,MK	305154 	283096 	220865 	234808 	222850 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,MT	897450 	839268 	631578 	592329 	508129 	561141 	725982 	897538 	928609 	924368 	1036422 	1073178 	990959 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,NL	6967515 	6929068 	5658177 	5732686 	5362175 	5272284 	6000635 	6672278 	7064448 	6980918 	7515443 	7641540 	7048084 	7127729 	5833070 	5894060 
M,PAS,TOT,INTL,PAS_CRD,NO	2130440 	2065056 	1582138 	1640443 	1474471 	1544378 	1730805 	1892056 	2019568 	2377793 	2894504 	2484790 	2183603 	2085568 	1604733 	: 
M,PAS,TOT,INTL,PAS_CRD,PL	5723273 	4979357 	3748017 	3814171 	3610283 	3704774 	4124563 	4721288 	5542181 	6143839 	6761610 	6965981 	6354806 	5570268 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,PT	5681162 	5420258 	3884246 	3836360 	3458529 	3552579 	4423807 	5333622 	5719126 	5822652 	6167745 	6308205 	5905675 	5691923 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,RO	2296308 	2143094 	1728899 	1750838 	1672583 	1568409 	1781407 	2008011 	2063090 	2288817 	2533801 	2756556 	2492460 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,RS	890541 	782047 	614600 	617179 	582833 	513590 	578091 	712391 	783071 	904823 	1018710 	1048282 	941244 	: 	: 	: 
