freq,unit,schedule,tra_cov,tra_meas,rep_airp\TIME_PERIOD	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,PAS,TOT,INTL,PAS_CRD,AT_LOWG	79969 	59286 	49943 	42035 	36409 	41181 	45048 	57331 	68630 	80454 	83281 	85386 	81630 	69424 	53072 	: 
M,PAS,TOT,INTL,PAS_CRD,AT_LOWI	23190 	9212 	10468 	92738 	160202 	172948 	170243 	28790 	18217 	26944 	28015 	29944 	25257 	9388 	6103 	: 
M,PAS,TOT,INTL,PAS_CRD,AT_LOWK	10397 	8952 	2244 	2757 	2670 	3305 	3334 	10295 	15407 	15447 	15299 	18154 	14384 	11911 	1708 	: 
M,PAS,TOT,INTL,PAS_CRD,AT_LOWL	24129 	10800 	13028 	8432 	6913 	9665 	10432 	17679 	29871 	34942 	37670 	41959 	37343 	20387 	7634 	: 
M,PAS,TOT,INTL,PAS_CRD,AT_LOWS	140173 	119409 	87483 	161930 	195090 	199932 	191316 	99149 	120133 	137548 	157147 	170696 	143556 	123891 	90318 	: 
M,PAS,TOT,INTL,PAS_CRD,AT_LOWW	3052556 	2926701 	2236287 	2358868 	1871158 	1879619 	2203003 	2777423 	2834768 	2962119 	3245476 	3370567 	3124640 	3040120 	2365276 	: 
M,PAS,TOT,INTL,PAS_CRD,BA_LQSA	189962 	147696 	120851 	109324 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,BA_LQTZ	19637 	18380 	16107 	17871 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,BE_EBAW	1568 	10349 	10167 	10518 	12243 	12477 	14492 	15404 	15711 	16587 	28164 	29388 	28879 	24503 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,BE_EBBR	2248107 	2100494 	1751280 	1767451 	1513642 	1523038 	1728096 	1963726 	1991341 	2129320 	2503922 	2484301 	2269505 	2220912 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,BE_EBCI	918735 	952873 	763572 	823690 	706839 	726636 	840218 	988053 	1056388 	976934 	1060198 	1110556 	1005260 	1035044 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,BE_EBLG	20452 	15697 	7967 	6811 	8154 	6649 	6908 	8855 	6346 	118 	18840 	18348 	15994 	11730 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,BE_EBOS	43165 	41343 	21928 	17906 	19083 	18997 	22451 	33825 	36069 	38365 	44395 	45304 	48771 	41691 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,BG_LBBG	269010 	35586 	5780 	8168 	5854 	5333 	3739 	18988 	86889 	322001 	521860 	523009 	278330 	38816 	0 	0 
M,PAS,TOT,INTL,PAS_CRD,BG_LBPD	: 	: 	: 	: 	19325 	21047 	21010 	12418 	13095 	13900 	11673 	11605 	14496 	16530 	18745 	25987 
M,PAS,TOT,INTL,PAS_CRD,BG_LBSF	710528 	690078 	572514 	612042 	565330 	569447 	666730 	703300 	717930 	682840 	684353 	734406 	741798 	748638 	625288 	698718 
M,PAS,TOT,INTL,PAS_CRD,BG_LBWN	176382 	101146 	44657 	48720 	47309 	42451 	52575 	90548 	116799 	202616 	271790 	300147 	206577 	123205 	80615 	90262 
M,PAS,TOT,INTL,PAS_CRD,CH_LFSB	795832 	827572 	535858 	622781 	421944 	510508 	584066 	792856 	807627 	821887 	858656 	914453 	847752 	902866 	569475 	710159 
M,PAS,TOT,INTL,PAS_CRD,CH_LSGG	1429670 	1447294 	1024194 	1406327 	1409416 	1436192 	1560787 	1468347 	1343421 	1421837 	1607313 	1614991 	1393903 	1478171 	1040928 	1493505 
