manager_action_queue_id,source_record_id,queue_source,action_scope,action_priority,action_title,action_note,owner,outlet_id,outlet_or_entity_name,period_label
MAQ_00001,MSL_00039,management_kpi_signal_layer,outlet_period,critical,Team Sustainability,"rebalance roster and protect therapist recovery | Demand shock likely external: protect team, preserve cash discipline, and avoid overreacting on price.",spa_manager,MLT_OUTLET_001,Valletta,2020-03-01 to 2020-03-31
MAQ_00002,MSL_00040,management_kpi_signal_layer,outlet_period,critical,Team Sustainability,"rebalance roster and protect therapist recovery | Demand shock likely external: protect team, preserve cash discipline, and avoid overreacting on price.",spa_manager,MLT_OUTLET_001,Valletta,2020-04-01 to 2020-04-30
MAQ_00003,MSL_00041,management_kpi_signal_layer,outlet_period,critical,Team Sustainability,"rebalance roster and protect therapist recovery | Demand shock likely external: protect team, preserve cash discipline, and avoid overreacting on price.",spa_manager,MLT_OUTLET_001,Valletta,2020-05-01 to 2020-05-31
MAQ_00004,MSL_00147,management_kpi_signal_layer,outlet_period,critical,Team Sustainability,"rebalance roster and protect therapist recovery | Demand shock likely external: protect team, preserve cash discipline, and avoid overreacting on price.",spa_manager,MLT_OUTLET_002,Sliema,2020-03-01 to 2020-03-31
MAQ_00005,MSL_00148,management_kpi_signal_layer,outlet_period,critical,Team Sustainability,"rebalance roster and protect therapist recovery | Demand shock likely external: protect team, preserve cash discipline, and avoid overreacting on price.",spa_manager,MLT_OUTLET_002,Sliema,2020-04-01 to 2020-04-30
MAQ_00006,MSL_00150,management_kpi_signal_layer,outlet_period,critical,Team Sustainability,"rebalance roster and protect therapist recovery | Demand shock likely external: protect team, preserve cash discipline, and avoid overreacting on price.",spa_manager,MLT_OUTLET_002,Sliema,2020-06-01 to 2020-06-30
MAQ_00007,MSL_00255,management_kpi_signal_layer,outlet_period,critical,Team Sustainability,"rebalance roster and protect therapist recovery | Demand shock likely external: protect team, preserve cash discipline, and avoid overreacting on price.",spa_manager,MLT_OUTLET_003,St Julians,2020-03-01 to 2020-03-31
MAQ_00008,MSL_00256,management_kpi_signal_layer,outlet_period,critical,Team Sustainability,"rebalance roster and protect therapist recovery | Demand shock likely external: protect team, preserve cash discipline, and avoid overreacting on price.",spa_manager,MLT_OUTLET_003,St Julians,2020-04-01 to 2020-04-30
MAQ_00009,MSL_00258,management_kpi_signal_layer,outlet_period,critical,Team Sustainability,"rebalance roster and protect therapist recovery | Demand shock likely external: protect team, preserve cash discipline, and avoid overreacting on price.",spa_manager,MLT_OUTLET_003,St Julians,2020-06-01 to 2020-06-30
MAQ_00010,MSL_00001,management_kpi_signal_layer,outlet_period,high,Commercial Growth,"push pricing discipline and upsell | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta,2017-01-01 to 2017-01-31
MAQ_00011,CRL_00001,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | aromatherapy,2017-01-01 to 2017-01-31
MAQ_00012,CRL_00006,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | massage,2017-01-01 to 2017-01-31
MAQ_00013,CRL_00007,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | reflexology,2017-01-01 to 2017-01-31
MAQ_00014,CRL_00008,conflict_resolution_layer,treatment_conflict,high,High Demand Low Yield,"review pricing upsell and mix | Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",spa_manager,MLT_OUTLET_001,Valletta | scrub,2017-01-01 to 2017-01-31
